"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","text-rare","font-semibold","text-super-rare","font-semibold 2","font-semibold 3"
"1st","https://www.soraredata.com/player/2131789614129711069437843452488131406807081772713601426385532324179566478458","https://assets.sorare.com/player/ca76bbf2-7579-42c0-b6a1-a34837098d3b/picture/avatar-c372c3ce7389c673555cc40104a20920.png","Rômulo","Midfielder  - 27","73.3","100%  PLAYED","77.2","100%  PLAYED","62.9","93%  PLAYED","No sale","Ξ 0,860","Last public sale","Ξ 0,250","Last public sale",""
"2nd","https://www.soraredata.com/player/69514649794500782574156372786098048808183056372987640714909404652714441528355","https://assets.sorare.com/player/e468eaf2-c164-4bed-955f-5eee31cbae66/picture/avatar-f219c8a2b598df9fd0804549e5bae7ad.png","Raphaël Guerreiro","Defender  - 29","89.5","100%  PLAYED","75.5","80%  PLAYED","65.4","73%  PLAYED","Ξ 0,0305","Ξ 0,201","3-day average","Ξ 0,600","3-day average","Last public sale"
"3rd","https://www.soraredata.com/player/84420280232705767100744134726285460114191349910111319343201787663372845826792","https://assets.sorare.com/player/b8192097-da7c-485d-9527-e1de4905449e/picture/avatar-197f05c0a6e8625fe7d68c55241e907d.png","Douglas Santos","Defender  - 29","68.0","100%  PLAYED","74.4","100%  PLAYED","70.4","98%  PLAYED","Ξ 0,109","Ξ 1,050","3-day average","Ξ 2,000","Last public sale","Last public sale"
"4th","https://www.soraredata.com/player/25231422346618897466161184991066014710242912075232564827261144631247649555194","https://assets.sorare.com/player/9ef65b0a-f901-41fe-b6a1-b8af3a9fcef5/picture/avatar-ce63d2a9f3c92146fcc21ff65e53b1b2.png","Lionel Messi","Forward  - 35","71.1","100%  PLAYED","73.6","93%  PLAYED","79.0","85%  PLAYED","Ξ 0,107","Ξ 1,244","3-day average","Ξ 8,326","2-week average","Last public sale"
"5th","https://www.soraredata.com/player/35038311752120278071619477081153224633324202400622245866546012409913361955818","https://assets.sorare.com/player/61f01ba8-e1ed-4c89-9066-bd55f6d0a416/picture/avatar-a68cd1e3808b0f1e9d6c9ee5fa927255.png","Malcom","Forward  - 26","75.2","100%  PLAYED","73.1","100%  PLAYED","68.5","98%  PLAYED","Ξ 0,114","Ξ 1,353","3-day average","Ξ 5,595","Last public sale","Last public sale"
"6th","https://www.soraredata.com/player/50166400733305245987445259038581862248098165934427002536851741874241679137447","https://assets.sorare.com/player/fb2d8eb4-db7e-4294-98bd-46bae13a0757/picture/avatar-ae64b698325dae91da2fcdc5942a63a7.png","Dušan Tadić","Forward  - 34","63.6","100%  PLAYED","72.1","100%  PLAYED","68.2","98%  PLAYED","Ξ 0,0572","Ξ 0,730","3-day average","Ξ 3,685","7-day average","Last public sale"
"7th","https://www.soraredata.com/player/98774637337413432031202097740829795153713358821649474254331189588818936588281","https://assets.sorare.com/player/95e2ea7e-4d30-4124-b961-f5b005dc0f13/picture/avatar-9563f4d3fe6c00d0c60b7ab65a3547b4.png","Carlo Holse","Forward  - 23","55.1","60%  PLAYED","72.0","87%  PLAYED","57.9","95%  PLAYED","Ξ 0,0383","Ξ 0,310","3-day average","Ξ 1,082","7-day average","1-month average"
"8th","https://www.soraredata.com/player/22915234903449158246403537433902045987288409333852354082917216816513783018829","https://assets.sorare.com/player/384d2f5e-cc75-415e-816f-daa9bfbc23eb/picture/avatar-f17f6f94efa7649f344ea5b4d58e9b53.png","Nicolás Otamendi","Defender  - 35","72.4","80%  PLAYED","71.9","87%  PLAYED","65.6","95%  PLAYED","Ξ 0,0230","Ξ 0,263","3-day average","Ξ 1,233","7-day average","7-day average"
"9th","https://www.soraredata.com/player/36719268317633023949536191224654601118633385052868472490174991756884155749581","https://assets.sorare.com/player/d8715c35-649c-4fa4-bc8f-aec7a3b0c009/picture/avatar-11ce29afcae1b6b1f6c2ee104146dd3a.png","Cesinha","Forward  - 33","72.6","60%  PLAYED","71.5","80%  PLAYED","65.3","70%  PLAYED","Ξ 0,0401","Ξ 0,277","3-day average","Ξ 2,028","3-day average","Last public sale"
"10th","https://www.soraredata.com/player/3558382120827233735723816500193313364662938234811237976238517430585021577354","https://assets.sorare.com/player/3d24d845-4f84-428e-9099-6ed4f2038f68/picture/avatar-64bb281bfd9866b7b7af0ae7f8aaaf42.png","Grimaldo","Defender  - 27","63.1","100%  PLAYED","71.5","100%  PLAYED","69.0","98%  PLAYED","Ξ 0,0587","Ξ 0,334","3-day average","Ξ 1,082","7-day average","3-day average"
"11th","https://www.soraredata.com/player/21723453871909365878582512762409674726818063886951422949305665024631469095096","https://assets.sorare.com/player/247b1613-6762-4b44-9034-48e1ef896a84/picture/avatar-4aa5aba3989f6cfc1fb102962a312ed2.png","Jordan Beyer","Defender  - 22","75.8","100%  PLAYED","70.8","87%  PLAYED","63.4","73%  PLAYED","Ξ 0,0145","Ξ 0,100","3-day average","Ξ 1,808","3-day average","Last public sale"
"12th","https://www.soraredata.com/player/79750957626554981987305620953487964008798587509951827459541127631541259708039","https://assets.sorare.com/player/65ba507b-903b-44b3-9772-a8479a6e6eff/picture/avatar-b2f3bea2ebf168369f708e8c212b96a9.png","Victor Osimhen","Forward  - 24","90.2","40%  PLAYED","70.3","80%  PLAYED","60.0","75%  PLAYED","Ξ 0,0983","Ξ 0,639","3-day average","Ξ 3,035","3-day average","1-month average"
"13th","https://www.soraredata.com/player/23020281842547486686184178925374677321883913072547913892396729666881803160610","https://assets.sorare.com/player/54ec4448-41ae-4c86-8c17-d130139bb067/picture/avatar-a84f0b7e0be8e1a14fadae4478ac0fa2.png","Marvin Wanitzek","Midfielder  - 29","73.3","100%  PLAYED","70.2","100%  PLAYED","67.5","98%  PLAYED","Ξ 0,0375","Ξ 0,429","3-day average","Ξ 1,860","2-week average","1-month average"
"14th","https://www.soraredata.com/player/28250253588794715769165234908331996446543927284974012208757368176955321912399","https://assets.sorare.com/player/25d3a956-acab-4131-8178-e0689138d742/picture/avatar-ec0a28d2029bf4fe38ef468f2471550c.png","Fernando Marçal","Defender  - 34","72.8","80%  PLAYED","69.9","87%  PLAYED","60.3","60%  PLAYED","No sale","Ξ 0,270","Last public sale","No sale","",""
"15th","https://www.soraredata.com/player/42700510508477135858287923932652582989729400649373009625897835138477718215252","https://assets.sorare.com/player/ba910f84-89b7-4a54-994c-7b3aa1dac7a6/picture/avatar-2512e85176d6b0674a72d2048540e547.png","João Mário","Midfielder  - 30","36.8","80%  PLAYED","69.6","93%  PLAYED","62.0","88%  PLAYED","Ξ 0,0393","Ξ 0,340","3-day average","Ξ 2,433","7-day average","Last public sale"
"16th","https://www.soraredata.com/player/108698327846863090572994672001992605360410894617436561169931968594465658548142","https://assets.sorare.com/player/26fc0579-d0c9-4d58-8489-8e21383e1f8e/picture/avatar-0f583e4b06a14a261b90c940e5f6ac08.png","Alexander Bah","Defender  - 25","71.5","80%  PLAYED","69.6","87%  PLAYED","59.1","88%  PLAYED","Ξ 0,0176","Ξ 0,185","3-day average","Ξ 0,464","3-day average","Last public sale"
"17th","https://www.soraredata.com/player/75384613528152837342554636896635314658645142314782469753248553925823551221096","https://assets.sorare.com/player/fe8f17ed-d8c4-4ace-a2f0-0c26e1462514/picture/avatar-ecbceffa5dcf6d5c3b84f4949c303b7f.png","Ramiz Zerrouki","Midfielder  - 24","79.1","80%  PLAYED","69.1","87%  PLAYED","61.9","95%  PLAYED","Ξ 0,0252","Ξ 0,255","3-day average","Ξ 0,764","7-day average","Last public sale"
"18th","https://www.soraredata.com/player/27207318521971775627312501528796434835860758253950706758620771952892837981480","https://assets.sorare.com/player/43734791-118a-4cf6-88bc-eb122cce09a3/picture/avatar-831f1b3194e91fb2437c9592238327ea.png","Kim Min-Jae","Defender  - 26","61.8","100%  PLAYED","69.0","100%  PLAYED","61.2","95%  PLAYED","Ξ 0,0435","Ξ 0,317","3-day average","Ξ 1,500","7-day average","Last public sale"
"19th","https://www.soraredata.com/player/32641747953423766876691630993329066447991873658370681259308780412800620090515","https://assets.sorare.com/player/db9c49e4-ce4a-4e11-b6df-702ab449154b/picture/avatar-e8144f898d68bed51e2acc191cded9b4.png","Joshua Kimmich","Midfielder  - 28","69.5","100%  PLAYED","68.9","93%  PLAYED","71.6","95%  PLAYED","Ξ 0,179","Ξ 1,997","3-day average","Ξ 9,000","2-week average","1-month average"
"20th","https://www.soraredata.com/player/95791126090236003040101846245956166842297933478083821256675088636247743696848","https://assets.sorare.com/player/acbf1cf9-8019-406c-b174-6e753102f509/picture/avatar-a9c527bd0adeff576b4505b8ae70b179.png","Nico Schlotterbeck","Defender  - 23","57.0","80%  PLAYED","68.7","87%  PLAYED","62.2","93%  PLAYED","Ξ 0,0444","Ξ 0,842","3-day average","Ξ 4,079","2-week average","Last public sale"
"21st","https://www.soraredata.com/player/3593012810192446240948911151921268563717233271674070333711194484543721176885","https://assets.sorare.com/player/2ee10717-f7d3-4fe0-b20b-2840f9617c84/picture/avatar-b8bcb99ea275e9d98069b6d8567fce45.png","Borna Barišić","Defender  - 30","71.8","60%  PLAYED","68.2","87%  PLAYED","60.8","70%  PLAYED","No sale","No sale","","No sale","",""
"22nd","https://www.soraredata.com/player/63765650263197420909230885813830239446454018625949119526813655218552103555939","https://assets.sorare.com/player/a3c6c8e5-bd03-464f-9d30-06b2f6af4860/picture/avatar-e06f345940240487d54ffd7b71f2e7b3.png","Maksim Osipenko","Defender  - 28","78.7","100%  PLAYED","68.2","100%  PLAYED","62.2","95%  PLAYED","Ξ 0,0337","Ξ 0,268","3-day average","Ξ 0,129","Last public sale","Last public sale"
"23rd","https://www.soraredata.com/player/53597940008638384383840215134415154626419580536894691235996960117046679215776","https://assets.sorare.com/player/4cdd418b-a5be-4a9f-90c5-79fd14f1781c/picture/avatar-ae768acddf6e597215d14021669481e0.png","Alexander Alvarado","Midfielder  - 23","67.6","100%  PLAYED","67.9","100%  PLAYED","60.8","80%  PLAYED","Ξ 0,0253","Ξ 0,213","3-day average","Ξ 0,884","3-day average","Last public sale"
"24th","https://www.soraredata.com/player/104622056433111170655983389736914553737237366341066075304052369386371835005180","https://assets.sorare.com/player/a2aec7ad-8915-46eb-b896-6d3a3a9ecac6/picture/avatar-e3ab33e1c327750a5a9ce65ac112f0e3.png","Václav Černý","Forward  - 25","66.9","80%  PLAYED","67.6","93%  PLAYED","55.2","88%  PLAYED","Ξ 0,0208","Ξ 0,232","3-day average","Ξ 0,762","7-day average","Last public sale"
"25th","https://www.soraredata.com/player/104967963082949895888037561850255603802006906536395165972508365054285581232018","https://assets.sorare.com/player/9097ab4a-d503-4924-8186-5d09ab121faa/picture/avatar-2eeb7fa4219f28743f08d6fbff3213dd.png","Karim Benzema","Forward  - 35","68.3","100%  PLAYED","67.3","80%  PLAYED","63.0","65%  PLAYED","Ξ 0,0436","Ξ 0,291","3-day average","Ξ 1,189","3-day average","1-month average"
"26th","https://www.soraredata.com/player/64670542841878580205737389732954724591915499784084069350140660426898429671737","https://assets.sorare.com/player/4b385972-46b6-4389-a970-8e30431787d2/picture/avatar-be53d0ab9c50c9d13298f337f42c8124.png","Solly March","Midfielder  - 28","73.9","100%  PLAYED","67.2","100%  PLAYED","53.0","98%  PLAYED","Ξ 0,0179","Ξ 0,136","3-day average","Ξ 0,371","7-day average","1-month average"
"27th","https://www.soraredata.com/player/63139827285162964605001918228887518791015358190577254038781280659280686291314","https://assets.sorare.com/player/0de2e37a-c74e-4d5c-b91a-1f0cce60c446/picture/avatar-f85d8c49edcab65f8a961a3c4808a0cf.png","Cameron Carter-Vickers","Defender  - 25","69.8","100%  PLAYED","67.2","93%  PLAYED","60.2","80%  PLAYED","Ξ 0,0288","Ξ 0,265","3-day average","Ξ 3,700","7-day average","Last public sale"
"28th","https://www.soraredata.com/player/25537619113005831021209887609770991800794636280313634665952128358223485449173","https://assets.sorare.com/player/e365287a-cbe6-4d0c-935e-7af7ee4f76ab/picture/avatar-d7236911e5a52f4246d6481c56860379.png","Robin Pröpper","Defender  - 29","66.0","80%  PLAYED","67.0","80%  PLAYED","55.5","90%  PLAYED","Ξ 0,0077","Ξ 0,0942","3-day average","Ξ 0,665","3-day average","2-week average"
"29th","https://www.soraredata.com/player/41571352316456464689721984025107325350956873768631364651926213355081866957432","https://assets.sorare.com/player/9965c362-7c52-45e4-80f8-5ac2d600b734/picture/avatar-dd19b386158f8c75ab2bec39884170a0.png","Wendel","Midfielder  - 25","59.7","100%  PLAYED","67.0","93%  PLAYED","63.8","85%  PLAYED","Ξ 0,0440","Ξ 0,310","3-day average","Ξ 3,850","3-day average","Last public sale"
"30th","https://www.soraredata.com/player/93237126982164188535525392034361917916706596251655602685484743162903262758283","https://assets.sorare.com/player/29215b4a-3a32-408f-be74-c90b3d4bd9eb/picture/avatar-aa5cc2feae4b695a5cef7db308eb4895.png","Franko Andrijašević","Midfielder  - 31","69.3","80%  PLAYED","67.0","93%  PLAYED","57.6","98%  PLAYED","No sale","Ξ 0,144","Last public sale","No sale","",""
"31st","https://www.soraredata.com/player/88019088223013367190543906874331974630411421847368750011248149555423180119241","https://assets.sorare.com/player/b9333d2a-4c9a-4416-aae5-37ba84a6b06a/picture/avatar-941d769b1a8ff895a9376d873289503c.png","Daler Kuzyaev","Midfielder  - 30","63.3","100%  PLAYED","67.0","100%  PLAYED","62.2","80%  PLAYED","Ξ 0,0221","Ξ 0,299","7-day average","Ξ 1,000","Last public sale","Last public sale"
"32nd","https://www.soraredata.com/player/11380650895824792192607671750482561013813529825534501702201722646735522134231","https://assets.sorare.com/player/756e0179-73dd-41e3-ae5f-5912e8e068a4/picture/avatar-deb4da97419aade9a2f39bd738fd143c.png","Pierre Lees-Melou","Midfielder  - 29","66.8","100%  PLAYED","66.9","87%  PLAYED","54.5","88%  PLAYED","Ξ 0,0093","Ξ 0,0511","3-day average","Ξ 0,303","7-day average","2-week average"
"33rd","https://www.soraredata.com/player/107145245966437661498482755048075201689296623909819616783691778658521555569367","https://assets.sorare.com/player/df1d073d-b694-451a-8c69-d3b7c39a340d/picture/avatar-25393189fa15a7c46f84452b9e8bbc8e.png","Kylian Kaïboué","Midfielder  - 24","54.9","100%  PLAYED","66.7","87%  PLAYED","59.3","85%  PLAYED","Ξ 0,0128","Ξ 0,101","3-day average","Ξ 1,250","3-day average","Last public sale"
"34th","https://www.soraredata.com/player/44226890804620938304703828532144929495876938989135636237539755747025467782150","https://assets.sorare.com/player/6e6d8232-1484-4561-bb42-c0c6c3faae86/picture/avatar-8a1e52a5d25c2535b53052a1b7f6ddef.png","Vinícius Júnior","Forward  - 22","74.2","100%  PLAYED","66.6","93%  PLAYED","62.9","95%  PLAYED","Ξ 0,132","Ξ 1,200","3-day average","Ξ 14,60","3-day average","Last public sale"
"35th","https://www.soraredata.com/player/89031364245228937905136371034507688627694580808325569262778318486994494180102","https://assets.sorare.com/player/a78217fb-2735-4540-bf9b-2f4797d7f6d8/picture/avatar-07e2621d3164bc0a4dae9c9da4202599.png","Julian Gressel","Midfielder  - 29","60.6","100%  PLAYED","66.4","93%  PLAYED","51.9","93%  PLAYED","Ξ 0,0198","Ξ 0,160","3-day average","Ξ 0,250","7-day average","Last public sale"
"36th","https://www.soraredata.com/player/87142952218475462127237082464639844057122613122082017122534970902361194627899","https://assets.sorare.com/player/e0abc89e-0082-4c3d-a7d4-3933a3414490/picture/avatar-5da81b3eb06e19916e622c7d46c9b86a.png","Tim Kleindienst","Forward  - 27","66.5","100%  PLAYED","66.4","93%  PLAYED","55.5","85%  PLAYED","Ξ 0,0193","Ξ 0,138","3-day average","Ξ 0,801","3-day average","Last public sale"
"37th","https://www.soraredata.com/player/7885245134722965119632871292906692475656025645682751471889743880699116303075","https://assets.sorare.com/player/e8846f97-ef4c-4733-8150-28b856319683/picture/avatar-bcdcd3c36b1ed4d7387cb1d48251fb88.png","Eric Curbelo","Defender  - 29","57.4","60%  PLAYED","66.3","80%  PLAYED","60.5","90%  PLAYED","Ξ 0,0025","Ξ 0,0506","3-day average","Ξ 0,479","7-day average","1-month average"
"38th","https://www.soraredata.com/player/90850985514124156614183936080320098852987847427397410787590772594054429464526","https://assets.sorare.com/player/888b1e56-4291-40f4-ab73-5b6178dc2089/picture/avatar-c758e0f8b1e375f53a0b3b10582bdd58.png","Carl Starfelt","Defender  - 27","52.3","60%  PLAYED","66.3","87%  PLAYED","64.1","55%  PLAYED","Ξ 0,0155","Ξ 0,239","3-day average","Ξ 0,879","2-week average","7-day average"
"39th","https://www.soraredata.com/player/63814162580966165102652341547596580711379790192526020730022238903644349835904","https://assets.sorare.com/player/4ef0231f-d225-4c78-88b3-6136ef79f570/picture/avatar-8be86d40e19bf3b802e3aaaea601c99d.png","Pedro Gonçalves","Midfielder  - 24","74.0","100%  PLAYED","66.0","100%  PLAYED","60.6","95%  PLAYED","Ξ 0,0469","Ξ 0,305","3-day average","Ξ 2,000","2-week average","Last public sale"
"40th","https://www.soraredata.com/player/51656563817624047365345476883723187809003470217255653191634760945533226883897","https://assets.sorare.com/player/c516ab45-eff7-4522-91e9-431291f89e71/picture/avatar-5c14825a52cf3bdb03c9d706ef87a8f3.png","Mário Fernandes","Defender  - 32","78.7","60%  PLAYED","65.8","87%  PLAYED","59.1","85%  PLAYED","Ξ 0,0115","Ξ 0,0600","2-week average","Ξ 0,450","2-week average","Last public sale"
"41st","https://www.soraredata.com/player/12716462753139595166326520650089875784934892483788919802536801151136368760777","https://assets.sorare.com/player/6c08e86e-f866-4d3b-971f-c89cd727228c/picture/avatar-3c8e569942b5f3bed59185ea2b7ed049.png","Gastón Brugman","Midfielder  - 30","67.0","100%  PLAYED","65.8","100%  PLAYED","57.2","85%  PLAYED","Ξ 0,0268","Ξ 0,211","3-day average","No sale","2-week average",""
"42nd","https://www.soraredata.com/player/88678156383373702090626835703604057829530415976980849390557937703108338506812","https://assets.sorare.com/player/d6f9f3e3-99b0-451c-9286-2547f7634473/picture/avatar-e17a092809b40bd63cf63f001b61f3e7.png","Joey Veerman","Midfielder  - 24","78.4","100%  PLAYED","65.7","93%  PLAYED","63.2","98%  PLAYED","Ξ 0,0418","Ξ 0,453","3-day average","Ξ 2,720","2-week average","2-week average"
"43rd","https://www.soraredata.com/player/henry-josue-martin-mex","","Henry Martín","Forward  - 30","53.2","100%  PLAYED","65.6","100%  PLAYED","58.4","98%  PLAYED","No sale","No sale","","No sale","",""
"44th","https://www.soraredata.com/player/83545636378722849589055741524348006232217543620944037407112792279990833899704","https://assets.sorare.com/player/c8337c34-9ec3-4c4e-9d9f-f46e0475333c/picture/avatar-1eae52d1cd9172871cce1e376c16859f.png","Barış Atik","Forward  - 28","70.5","100%  PLAYED","65.5","93%  PLAYED","NA","0%  PLAYED","Ξ 0,0145","Ξ 0,137","3-day average","Ξ 0,178","7-day average","Last public sale"
"45th","https://www.soraredata.com/player/12572712639473564377868426251577374087867017371932358556250772629209150918915","https://assets.sorare.com/player/83671d16-7c48-4700-9706-45a7639571b9/picture/avatar-3984ae27b9dc05ffda2582a4a21e4823.png","Yunis Abdelhamid","Defender  - 35","58.0","100%  PLAYED","65.5","100%  PLAYED","56.4","98%  PLAYED","Ξ 0,0068","Ξ 0,0445","3-day average","Ξ 0,493","3-day average","1-month average"
"46th","https://www.soraredata.com/player/78763407847611451347360343233563862491180646733048184164107131292020409201541","https://assets.sorare.com/player/532c9e27-17e1-420e-9cbd-4c5423fe77e8/picture/avatar-b195aaba566fb032dcf6ca2dc8255ff6.png","Jonathan Viera","Midfielder  - 33","72.6","100%  PLAYED","65.5","80%  PLAYED","64.1","78%  PLAYED","Ξ 0,0086","Ξ 0,111","3-day average","Ξ 1,414","3-day average","Last public sale"
"47th","https://www.soraredata.com/player/81114179738979787555903681920669844847091507423996875126050852109639896442988","https://assets.sorare.com/player/e75fc75d-4678-4879-84f4-22b19c6b8dfb/picture/avatar-7f40963982a152cbc9f8f4b6f4aabd80.png","Sho Sasaki","Defender  - 33","72.1","100%  PLAYED","65.3","100%  PLAYED","65.0","95%  PLAYED","Ξ 0,0436","Ξ 0,320","3-day average","Ξ 1,355","3-day average","Last public sale"
"48th","https://www.soraredata.com/player/11787457460768363215538030188092007577661770134776418354441259227811890068953","https://assets.sorare.com/player/465af818-c585-470a-bf4b-79dcb0629c39/picture/avatar-e9086764b269757ce7ae5cc0979af238.png","Carles Gil","Midfielder  - 30","71.4","80%  PLAYED","65.2","87%  PLAYED","65.5","95%  PLAYED","Ξ 0,0731","Ξ 0,622","3-day average","Ξ 3,233","2-week average","Last public sale"
"49th","https://www.soraredata.com/player/97158692444912115763250193091010790897499927922941945080271545624817521188216","https://assets.sorare.com/player/bea2098f-d7b9-40d5-a7f3-2e2a2b63826a/picture/avatar-0d6bbdc50ba9cfbf1c1f0e76489c9850.png","Dani Parejo","Midfielder  - 33","68.0","100%  PLAYED","65.1","100%  PLAYED","60.3","98%  PLAYED","Ξ 0,0231","Ξ 0,177","3-day average","Ξ 1,255","3-day average","1-month average"
"50th","https://www.soraredata.com/player/85697731026057585999977427155471983082317994132491022163184316991915329194828","https://assets.sorare.com/player/c2420580-d3f9-45fb-a995-2338d1b606fc/picture/avatar-6cd37b16e13d0a48534abc3241f8f2d0.png","Rúben Dias","Defender  - 25","66.3","100%  PLAYED","65.0","87%  PLAYED","56.3","75%  PLAYED","Ξ 0,0379","Ξ 0,315","3-day average","Ξ 1,901","7-day average","2-week average"
"51st","https://www.soraredata.com/player/110373254407745243959891679292179737590069177522240396117550509107209020185338","https://assets.sorare.com/player/a0dfee77-29c2-4079-a49a-dc084ff924a3/picture/avatar-1fbfea558f55abe46a7a2a590caac758.png","Quincy Promes","Midfielder  - 31","55.4","80%  PLAYED","65.0","87%  PLAYED","61.3","88%  PLAYED","Ξ 0,0260","Ξ 0,600","7-day average","Ξ 1,500","1-month average","Last public sale"
"52nd","https://www.soraredata.com/player/59241447422703597695719629768960494630104107535879630594868174146977038574785","https://assets.sorare.com/player/58d1b9dd-9012-45f4-bdd8-414a9f7348f9/picture/avatar-26d52ac1b3fc1a8014fbc26829decee9.png","Gabriel Pereira","Midfielder  - 21","58.5","100%  PLAYED","65.0","100%  PLAYED","53.0","90%  PLAYED","Ξ 0,0312","Ξ 0,258","3-day average","No sale","3-day average",""
"53rd","https://www.soraredata.com/player/47065069549698011565826665153485343996549574607220866012730933383114732386969","https://assets.sorare.com/player/67094d68-080a-4a5f-85f6-dc8663d31734/picture/avatar-0e200a41672ea610c85337281b81e4f4.png","Nikolay Komlichenko","Forward  - 27","57.3","80%  PLAYED","64.9","93%  PLAYED","55.6","90%  PLAYED","Ξ 0,0530","Ξ 0,258","2-week average","Ξ 0,200","2-week average","Last public sale"
"54th","https://www.soraredata.com/player/67159624593957996628800792066825996114716263973104116738981276681423137789503","https://assets.sorare.com/player/13336865-ee42-45f0-97d9-891fd8dd8f97/picture/avatar-cf8b2ade703072888c32482691ccb467.png","Dávid Hancko","Defender  - 25","58.9","100%  PLAYED","64.9","100%  PLAYED","64.9","100%  PLAYED","Ξ 0,0363","Ξ 0,341","3-day average","Ξ 2,873","3-day average","Last public sale"
"55th","https://www.soraredata.com/player/38559063233129754025620263998001481064938356659591128867866098423317985234053","https://assets.sorare.com/player/9a17a79b-c765-43ee-a8b5-f976dc5dbd14/picture/avatar-6252e5f64a7be7e13a7df47d49722c69.png","Kento Tachibanada","Midfielder  - 24","53.8","100%  PLAYED","64.7","93%  PLAYED","55.6","98%  PLAYED","Ξ 0,0184","Ξ 0,263","3-day average","Ξ 1,130","1-month average","Last public sale"
"56th","https://www.soraredata.com/player/29167191499363133940388369422145143992734993113590252415173929066235584794729","https://assets.sorare.com/player/8b4403ab-2d2e-435e-87ee-e1e9131d44da/picture/avatar-9bfdcc5ed79151726f4c4338a5fc3628.png","Lucas Villalba","Defender  - 28","80.5","80%  PLAYED","64.7","87%  PLAYED","58.1","93%  PLAYED","Ξ 0,0164","Ξ 0,145","3-day average","Ξ 0,988","3-day average","Last public sale"
"57th","https://www.soraredata.com/player/21368181140283943649086220345117539746785527463733360207119199931368499261634","https://assets.sorare.com/player/d124104a-079a-4476-a25f-444ee847de71/picture/avatar-7ee7c06e635ce72018b858306b209a89.png","Arbilla","Defender  - 35","63.9","100%  PLAYED","64.5","93%  PLAYED","56.6","80%  PLAYED","Ξ 0,0034","Ξ 0,0386","3-day average","Ξ 0,178","2-week average","Last public sale"
"58th","https://www.soraredata.com/player/47244063150588615515364209952478962875804544165039004434751553916825604938091","https://assets.sorare.com/player/6e823088-1d66-4dc4-a24d-630cf03eab91/picture/avatar-af54593a1e1f71ea6110104fc6668af7.png","Aidan Morris","Midfielder  - 21","85.7","100%  PLAYED","64.5","93%  PLAYED","52.0","83%  PLAYED","Ξ 0,0300","Ξ 0,208","3-day average","Ξ 0,890","3-day average","2-week average"
"59th","https://www.soraredata.com/player/43195256875355991471866845618032439148387286626356918709196339378958004426646","https://assets.sorare.com/player/15639396-cbaf-4fbe-8d4c-c0d6b6dd1fca/picture/avatar-f8319fe3e203619321c2e57a2b1b3a09.png","Yoann Barbet","Defender  - 29","62.6","100%  PLAYED","64.5","93%  PLAYED","59.5","73%  PLAYED","Ξ 0,0074","Ξ 0,0430","3-day average","No sale","2-week average",""
"60th","https://www.soraredata.com/player/13670705061533331028010593566096620449369378442670885049486412015962512083771","https://assets.sorare.com/player/60651b88-644f-4fc8-98f1-6ac7316acd97/picture/avatar-929c8c04b20200d457b74f833d669556.png","Noë Dussenne","Defender  - 31","70.0","100%  PLAYED","64.3","80%  PLAYED","59.7","85%  PLAYED","Ξ 0,0041","Ξ 0,0491","3-day average","Ξ 0,430","3-day average","1-month average"
"61st","https://www.soraredata.com/player/20966927225198449572991512542490518454701171394600052588518973317939532398930","https://assets.sorare.com/player/77d3f197-c0be-4c16-8036-7d45a0cd9338/picture/avatar-6d89cb47af17c5dca93613a9024417f9.png","Antoine Griezmann","Forward  - 32","61.5","100%  PLAYED","64.3","100%  PLAYED","63.4","100%  PLAYED","Ξ 0,0501","Ξ 0,461","3-day average","Ξ 1,842","3-day average","Last public sale"
"62nd","https://www.soraredata.com/player/18010659019761164384688704630594960827091009302132255238620738938441483274132","https://assets.sorare.com/player/2a3ea049-c4ec-4448-a9bf-01617359a4e7/picture/avatar-4ced1e7427db529a85b2254d4eead955.png","Jack Grealish","Midfielder  - 27","59.6","100%  PLAYED","64.1","100%  PLAYED","55.5","93%  PLAYED","Ξ 0,0390","Ξ 0,310","3-day average","Ξ 1,014","3-day average","1-month average"
"63rd","https://www.soraredata.com/player/52257763860932301702705938181480284950283178384558539066685716568938563877072","https://assets.sorare.com/player/b81cf7d3-f95e-4582-8a15-fd14710fcd40/picture/avatar-28dc1ed0c4dcded5708af145b63c8f67.png","Anastasios Bakasetas","Midfielder  - 29","59.5","60%  PLAYED","64.1","87%  PLAYED","68.8","90%  PLAYED","Ξ 0,0195","Ξ 0,218","3-day average","Ξ 4,019","7-day average","Last public sale"
"64th","https://www.soraredata.com/player/18008837884635680203997673748504641471744238412934670410536582020557674947843","https://assets.sorare.com/player/4e96b3c9-5487-4ec0-88ad-48e3a128d975/picture/avatar-04d9ca591a055d4d504b1421f1fe8c47.png","Murilo Cerqueira","Defender  - 26","57.5","80%  PLAYED","64.1","80%  PLAYED","63.0","80%  PLAYED","Ξ 0,0399","Ξ 0,240","2-week average","Ξ 0,273","Last public sale","Last public sale"
