"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","text-rare","font-semibold","text-super-rare","font-semibold 2","font-semibold 3"
"2252nd","https://www.soraredata.com/player/99764896286702935852600845067963803128158773556191002862137303258651578454010","https://assets.sorare.com/player/37675336-1d39-4403-b8a4-0180920409dd/picture/avatar-a0f24ab9b59857957029f1ab27342bd6.png","Ivor Pandur","Goalkeeper  - 23","34.3","100%  PLAYED","43.3","100%  PLAYED","48.5","63%  PLAYED","Ξ 0,0136","Ξ 0,222","3-day average","Ξ 0,973","7-day average","1-month average"
"2253rd","https://www.soraredata.com/player/29650401228235846463207972030330831407155432405898572345804314071670685504647","https://assets.sorare.com/player/d5fca370-2e81-4528-80a1-ca2006bfc056/picture/avatar-036a86b0223157136f741903f0a61224.png","De Marcos","Defender  - 33","43.0","100%  PLAYED","43.3","100%  PLAYED","44.5","95%  PLAYED","Ξ 0,0006","Ξ 0,0082","3-day average","Ξ 0,300","1-month average","Last public sale"
"2254th","https://www.soraredata.com/player/33010272706679907117370889310628282476001622902649604618320063175034770160710","https://assets.sorare.com/player/f155b5f0-505d-4852-b884-a70f80656118/picture/avatar-c04ae50c12e9959607a89ac6407e7183.png","Joel Campbell","Forward  - 30","58.7","80%  PLAYED","43.3","80%  PLAYED","44.9","90%  PLAYED","No sale","No sale","","No sale","",""
"2255th","https://www.soraredata.com/player/63003368256568076276752137685255252660380802882848767030717172808170026986766","https://assets.sorare.com/player/22e2fe8f-0826-4058-8225-aed906b4aaed/picture/avatar-04176334d04ea80bb6ebb3085d470e79.png","Akim Abdallah","Defender  - 25","48.8","100%  PLAYED","43.3","100%  PLAYED","41.5","88%  PLAYED","Ξ 0,0005","Ξ 0,0054","3-day average","No sale","3-day average",""
"2256th","https://www.soraredata.com/player/104609108970775647821275502082979881098418605956065884194630741600132049826356","https://assets.sorare.com/player/7c43df8d-11ce-49d2-a568-477a67a1384a/picture/avatar-27d5d0b44e6321bc9eb9a27f9b8d9171.png","Connor Metcalfe","Midfielder  - 23","43.3","100%  PLAYED","43.3","100%  PLAYED","39.4","70%  PLAYED","Ξ 0,0009","Ξ 0,0168","3-day average","Ξ 0,0770","3-day average","Last public sale"
"2257th","https://www.soraredata.com/player/103044861706342028260385247229348805850688202661822858238012349286130322301770","https://assets.sorare.com/player/7369a4f9-f704-4c6d-b94d-6a75b8a2c5ea/picture/avatar-45ee6e99fcb6210ae6ad644ebb5c3d21.png","Alan Empereur","Defender  - 29","51.5","100%  PLAYED","43.3","87%  PLAYED","44.3","73%  PLAYED","Ξ 0,0014","Ξ 0,0182","7-day average","Ξ 0,253","3-day average","Last public sale"
"2258th","https://www.soraredata.com/player/6117938612658170526807706744186310674026875409168946625354508475111391910790","https://assets.sorare.com/player/4ae42d4a-6972-499a-9ec3-15b2c43b5e0c/picture/avatar-9eb21d5547774612aac42d59047be00d.png","Kike Pérez","Midfielder  - 26","38.3","80%  PLAYED","43.3","93%  PLAYED","41.4","90%  PLAYED","Ξ 0,0007","Ξ 0,0123","3-day average","Ξ 0,0567","Last public sale","Last public sale"
"2259th","https://www.soraredata.com/player/112026314488341066675407881375384681577003663070733628808738499431336490002947","https://assets.sorare.com/player/3d9b295b-b327-4b2d-b6ab-becb9d0fafa8/picture/avatar-8eb3e192afb7f892dcb840a8718d3ab7.png","Quentin Daubin","Midfielder  - 27","30.7","80%  PLAYED","43.3","80%  PLAYED","48.7","90%  PLAYED","Ξ 0,0004","Ξ 0,0113","3-day average","No sale","1-month average",""
"2260th","https://www.soraredata.com/player/27786127692898292300085574775209889393676134969142951135252019879643887210870","https://assets.sorare.com/player/133939b5-fa9f-46d3-ac46-88b9b24227d7/picture/avatar-ecbf9f582a13132941fae54ebda600e8.png","Lassana Coulibaly","Midfielder  - 27","43.1","100%  PLAYED","43.2","93%  PLAYED","44.5","93%  PLAYED","Ξ 0,0007","Ξ 0,0200","3-day average","Ξ 0,146","1-month average","Last public sale"
"2261st","https://www.soraredata.com/player/107711434225373991848890956575374579847807046419348121277400402099147974705672","https://assets.sorare.com/player/fea06de0-addb-48f0-95a0-aa7546a2aa77/picture/avatar-f7cc1f3cacbdd92921f95c7f3641ecce.png","Mathias Fixelles","Midfielder  - 26","39.9","100%  PLAYED","43.2","100%  PLAYED","40.8","80%  PLAYED","Ξ 0,0004","Ξ 0,0095","3-day average","Ξ 0,0831","2-week average","Last public sale"
"2262nd","https://www.soraredata.com/player/18280811201990821892366274613318094227928130520869411123989539466236334727828","https://assets.sorare.com/player/eb6e7cd8-5d70-4816-b644-b6d729663ad9/picture/avatar-be19cb0a70bd3939a0c5a103b9b53e68.png","Matty Godden","Forward  - 31","45.8","100%  PLAYED","43.2","87%  PLAYED","40.3","57%  PLAYED","Ξ 0,0009","Ξ 0,0124","3-day average","Ξ 0,0954","7-day average","Last public sale"
"2263rd","https://www.soraredata.com/player/42243852243981559568658281061101490434661865674262322520905569936008292478181","https://assets.sorare.com/player/8227c0fc-ccb5-4325-b596-c83ebccf376e/picture/avatar-654332fe7f0496506584d443f3996e53.png","Roger Espinoza","Midfielder  - 36","44.8","80%  PLAYED","43.2","93%  PLAYED","43.9","88%  PLAYED","Ξ 0,0004","Ξ 0,0039","3-day average","Ξ 0,0468","3-day average","1-month average"
"2264th","https://www.soraredata.com/player/38860052358717926774641650989985881294173571428675717787844305723883642563502","https://assets.sorare.com/player/f8ea2b76-b613-48b0-b3b2-d2dfc8c380ba/picture/avatar-5ae7697927de593fbeb7ea26394d6a5d.png","Rune Paeshuyse","Defender  - 21","31.4","100%  PLAYED","43.2","100%  PLAYED","41.0","68%  PLAYED","Ξ 0,0004","Ξ 0,0077","3-day average","Ξ 0,0737","2-week average","Last public sale"
"2265th","https://www.soraredata.com/player/45779823147678563430437861570706030036739365114560223462621518119819634354289","https://assets.sorare.com/player/1a0ddf61-414c-4567-810b-70e79d6f7f71/picture/avatar-d22c37b97bbf9f9fce18d24a43bd96af.png","Arne Maier","Midfielder  - 24","48.4","100%  PLAYED","43.2","100%  PLAYED","43.1","85%  PLAYED","Ξ 0,0015","Ξ 0,0190","3-day average","Ξ 0,0895","1-month average","1-month average"
"2266th","https://www.soraredata.com/player/40029228128458900773982643242098612399640307393376735936769537073300967612329","https://assets.sorare.com/player/316767fc-f909-434f-b038-252b1eab9acd/picture/avatar-54055657c0afd3b27f2aa76d3ab9025c.png","Lago Junior","Forward  - 32","36.5","100%  PLAYED","43.2","87%  PLAYED","36.7","57%  PLAYED","Ξ 0,0004","Ξ 0,0233","3-day average","Ξ 0,0690","1-month average","Last public sale"
"2267th","https://www.soraredata.com/player/75525737919529340767582631698801917689896020719514751598192466063006351056432","https://assets.sorare.com/player/8be67705-8a72-4586-b4db-7e22234f1239/picture/avatar-450690c968ca47716cd5b0eaf381afe2.png","Oğuzhan Özyakup","Midfielder  - 30","40.9","60%  PLAYED","43.2","80%  PLAYED","43.4","53%  PLAYED","Ξ 0,0004","Ξ 0,0067","3-day average","Ξ 0,0700","1-month average","Last public sale"
"2268th","https://www.soraredata.com/player/87774592564955879413382713806149908974470534629952403751021172126384883667206","https://assets.sorare.com/player/eab18c62-a642-463d-8c00-c58bf9413857/picture/avatar-16900193159a36a9e840f14d02716942.png","Eamonn Brophy","Forward  - 27","46.9","100%  PLAYED","43.2","80%  PLAYED","36.4","73%  PLAYED","Ξ 0,0005","Ξ 0,0090","3-day average","Ξ 0,0348","3-day average","Last public sale"
"2269th","https://www.soraredata.com/player/11559397464538145121863033881164550890633944689128293189066366204342262895469","https://assets.sorare.com/player/1841f075-c915-48ec-b336-47927098b89a/picture/avatar-f3d1f87e2f294051e194ece599c0d26b.png","Baptiste Santamaría","Midfielder  - 28","37.2","100%  PLAYED","43.2","87%  PLAYED","48.8","57%  PLAYED","Ξ 0,0011","Ξ 0,0244","3-day average","Ξ 0,423","3-day average","Last public sale"
"2270th","https://www.soraredata.com/player/85984818837597391968486868289794092459733209244657424937208545693773960907075","https://assets.sorare.com/player/d77bad48-ff80-4864-bb59-0979ff9acfc5/picture/avatar-de68674c815de6f3f2db0bb760a4f937.png","Gabriel Hauche","Forward  - 36","56.1","100%  PLAYED","43.2","87%  PLAYED","44.9","80%  PLAYED","Ξ 0,0029","Ξ 0,0370","3-day average","Ξ 0,115","3-day average","1-month average"
"2271st","https://www.soraredata.com/player/21602304874056801841686193445357986552731069138628889550134414582117070651407","https://assets.sorare.com/player/cfe2ee42-7024-4111-93dc-44af3559cb1a/picture/avatar-25ced5bbbf410e5d1d5c602c068b2352.png","Owen Wolff","Midfielder  - 18","60.5","80%  PLAYED","43.2","80%  PLAYED","37.8","83%  PLAYED","Ξ 0,0062","Ξ 0,0816","3-day average","Ξ 0,180","3-day average","Last public sale"
"2272nd","https://www.soraredata.com/player/51757919597731854187995192668137821424118263083073739203062605460332694523220","https://assets.sorare.com/player/7d02f1ff-b6b9-4790-9e5c-c71f03f1f80c/picture/avatar-0724dd3d7a4a4d866e6a1ae1793f93c2.png","Javi Puado","Forward  - 24","42.2","100%  PLAYED","43.2","100%  PLAYED","40.1","95%  PLAYED","Ξ 0,0017","Ξ 0,0224","3-day average","Ξ 0,128","1-month average","Last public sale"
"2273rd","https://www.soraredata.com/player/6697363072262453788394646353823902339563150371782988036891237308135783543706","https://assets.sorare.com/player/c5234371-cacf-48cc-939b-5cd7909ffa26/picture/avatar-92943ffa1eb6baba94c8c0d2e75a061a.png","Luciano Aued","Midfielder  - 36","40.0","100%  PLAYED","43.2","93%  PLAYED","47.5","65%  PLAYED","Ξ 0,0008","Ξ 0,0150","3-day average","Ξ 0,0612","3-day average","Last public sale"
"2274th","https://www.soraredata.com/player/110892708110235660216137110742692183554962951318986014542203890303874449811179","https://assets.sorare.com/player/d68f3278-94e8-4ba7-8587-8060a8d0be1c/picture/avatar-ece6236068f7646b093aa0d4ef11200c.png","Gary Magnée","Midfielder  - 23","43.2","80%  PLAYED","43.2","87%  PLAYED","41.0","93%  PLAYED","Ξ 0,0005","Ξ 0,0075","3-day average","Ξ 0,165","3-day average","Last public sale"
"2275th","https://www.soraredata.com/player/27127135104096623013321617141053974386616317734107103282599832525136028867012","https://assets.sorare.com/player/cbc55967-1922-410c-bcbc-4e8b4449cae0/picture/avatar-3020d875f3d08e016344b75f01093ea7.png","Kacper Kozłowski","Midfielder  - 19","37.8","100%  PLAYED","43.1","87%  PLAYED","41.6","65%  PLAYED","Ξ 0,0020","Ξ 0,0397","3-day average","Ξ 0,200","1-month average","1-month average"
"2276th","https://www.soraredata.com/player/16632917512848223892703031158116192208239333188444247688413493111758528879753","https://assets.sorare.com/player/8a5f11db-85bf-410c-9d04-bf75849978ed/picture/avatar-feef6d62d207718f45343bab967195ac.png","Unai Elgezabal","Defender  - 29","45.6","100%  PLAYED","43.1","93%  PLAYED","49.5","93%  PLAYED","Ξ 0,0004","Ξ 0,0140","3-day average","Ξ 0,750","7-day average","Last public sale"
"2277th","https://www.soraredata.com/player/52412893944296184566585740745140872940687210882852120260353064907880903402102","https://assets.sorare.com/player/aab6b1be-778d-42c5-aec6-ff4483a029a6/picture/avatar-e5fc0c0f4b546945026984341d7e9da9.png","Sinan Bolat","Goalkeeper  - 34","51.2","80%  PLAYED","43.1","93%  PLAYED","44.8","78%  PLAYED","Ξ 0,0064","Ξ 0,151","3-day average","Ξ 0,431","3-day average","1-month average"
"2278th","https://www.soraredata.com/player/74961175167108094033049542565868873963971930187928894742594608851944838263902","https://assets.sorare.com/player/460409c1-0bc2-4809-891b-8e6f03d00a33/picture/avatar-17a007f52167546665f2e3d84fce25c1.png","Matheusinho","Midfielder  - 25","35.9","80%  PLAYED","43.1","93%  PLAYED","41.4","73%  PLAYED","Ξ 0,0023","Ξ 0,0176","3-day average","Ξ 0,120","7-day average","Last public sale"
"2279th","https://www.soraredata.com/player/72270230678282164331988938286682858885268028640644067172482050734847035714450","https://assets.sorare.com/player/f5742641-42b3-48f4-8b07-7461a52f94d1/picture/avatar-0f81c1e08f6239ba54024cd2e35ae129.png","Theo Sander","Goalkeeper  - 18","48.4","100%  PLAYED","43.1","87%  PLAYED","42.8","35%  PLAYED","Ξ 0,0211","Ξ 0,218","3-day average","Ξ 1,310","3-day average","1-month average"
"2280th","https://www.soraredata.com/player/30446250213194355886852799736327435847944310592695334149649775210624182394116","https://assets.sorare.com/player/fa54a45d-77d4-4670-9881-a3462aca5c2e/picture/avatar-00ef5451f9fd043b32c7489ad01a4a2e.png","Julian Baas","Midfielder  - 20","40.3","100%  PLAYED","43.1","93%  PLAYED","NA","0%  PLAYED","Ξ 0,0013","Ξ 0,0153","2-week average","Ξ 0,223","2-week average","Last public sale"
"2281st","https://www.soraredata.com/player/73663111427544431879581831042163007185158272037886446089368819814042580432572","https://assets.sorare.com/player/977c5de8-6c60-41e9-856b-9dcb857a9471/picture/avatar-9c5e291471097850052cb9ca85569dc9.png","Tomáš Suslov","Midfielder  - 20","39.5","100%  PLAYED","43.1","93%  PLAYED","41.5","83%  PLAYED","Ξ 0,0017","Ξ 0,0276","3-day average","Ξ 0,270","7-day average","Last public sale"
"2282nd","https://www.soraredata.com/player/70819179438247267684503370537728280845121090865440929828356559063434714861148","https://assets.sorare.com/player/b9d1b892-98ce-4dfe-9043-d8245bae99c5/picture/avatar-49ecdb3eb13650ad5bb879deea161efa.png","Dennis Dressel","Midfielder  - 24","45.5","100%  PLAYED","43.1","100%  PLAYED","NA","0%  PLAYED","Ξ 0,0003","Ξ 0,0121","3-day average","Ξ 0,0776","2-week average","7-day average"
