,p1,p2,p3,p4,score,age,price,diff
53,Hirokazu Ishihara,João Ricardo,Christian Kouamé,Majeed Ashimeru,174.89999999999998,23342525,0.0353,-0.0011110000000000494
54,Piero Hincapié,João Ricardo,Djaniny Semedo,Edin Džeko,181.29999999999998,21343136,0.0389,-0.0011960000000000304
55,Sébastien Corchia,João Ricardo,Marc Bartra,Amine Adli,174.5,32343222,0.0304,0.0014640000000000451
56,João Ricardo,Pedro Chirivella,Riccardo Calafiori,Matteo Politano,180.7,34252029,0.036,0.0006550000000000306
57,Vitor Hugo,Amine Adli,Fernando Miguel,Martín Nervo,182.7,31223832,0.03950000000000001,-0.0006000000000000449
58,George Saville,Connor Roberts,Lyle Foster,João Ricardo,188.1,29272234,0.034,0.000860999999999966
59,Edgar Zaldívar,João Ricardo,Andreas Voglsammer,Vertonghen,190.9,26343135,0.034100000000000005,-0.0011939999999999867
60,Juan Garro,Guus Til,Fernando Miguel,Marcel Halstenberg,172.7,30253831,0.031200000000000002,0.0006579999999999954
61,Luis Reyes,Jóhann Guðmunds­son,Fernando Miguel,Mostafa Mohamed,192.2,31323825,0.0382,-0.0005420000000000424
62,Fernando Miguel,Pere Pons,Connor Roberts,Matteo Politano,177.1,38302729,0.037,2.5999999999963552e-05
63,Fernando Miguel,Ashley Barnes,Ivan Rakitić,Fábio Cardoso,192.89999999999998,38333428,0.0353,0.001096999999999973
64,Andreas Voglsammer,Michael Estrada,Michael Ngadeu,Fernando Miguel,186.10000000000002,31263238,0.038,-0.0008640000000000592
65,Fousseni Diabaté,Laurent Depoitre,Nathan Aké,João Ricardo,190.7,27342834,0.0299,0.00142800000000003
66,Rafael Borré,Nemanja Gudelj,Marwin Hitz,Sébastien Corchia,164.7,27313532,0.039900000000000005,-0.0035860000000000475
67,Juan García,Fernando Miguel,Alan Cervantes,Igor,190.5,30382525,0.031400000000000004,0.002163000000000033
68,Jean-Charles Castelletto,Ashley Barnes,João Ricardo,Rafa Mir,184.29999999999998,28333425,0.031599999999999996,0.0019960000000000255
69,Titi,Amadou Diawara,Michael Estrada,Janis Blaswich,172.1,34252631,0.0398,-0.0043250000000000025
70,Anwar El Ghazi,Ismail Jakobs,João Ricardo,Max Aarons,173.9,27233423,0.030200000000000005,0.0016659999999999384
71,João Ricardo,Piero Hincapié,Edward Chilufya,Mostafa Mohamed,165.60000000000002,34212325,0.0382,-0.0027760000000000423
72,João Ricardo,Hirokazu Ishihara,Maxi Gómez,Mathías Olivera,183.6,34232625,0.0383,-0.0005150000000000016
73,João Ricardo,Teemu Pukki,Tanguy Ndombélé,Tinga,179.2,34322629,0.0324,-0.00033900000000000596
74,Adrien Truffert,João Ricardo,Tinga,Matteo Politano,178.1,21342929,0.0354,0.0001000000000000445
75,George Honeyman,João Ricardo,Nicolò Casale,Romarinho,182.0,28342528,0.0356,0.00011500000000001787
76,Francesco Acerbi,Kasim Adams,João Ricardo,Evann Guessand,183.7,35273421,0.034,0.0006029999999999577
77,Brayan Trejo,Fernando Miguel,Jake Cooper,Rani Khedira,182.5,23382829,0.0332,-2.200000000004282e-05
78,Mitchel Bakker,Kasim Adams,Ashley Barnes,João Ricardo,177.1,22273334,0.0287,0.00257600000000004
79,Mykola Matviienko,Rafa Mir,Nemanja Gudelj,João Ricardo,188.7,26253134,0.0259,0.002447000000000015
80,Jóhann Guðmunds­son,Edward Chilufya,Alessio Romagnoli,João Ricardo,172.7,32232834,0.0311,0.00042099999999996654
81,Edward Chilufya,João Ricardo,Djibril Sow,Jean-Charles Castelletto,185.39999999999998,23342628,0.0318,0.00048700000000002214
82,Janis Blaswich,Elseid Hysaj,Samuel Moutoussamy,Moises,175.10000000000002,31292626,0.0398,-0.0021549999999999694
83,Lyle Foster,Nathan Aké,João Ricardo,Erik Lamela,173.5,22283430,0.0354,-0.0008919999999999484
84,João Ricardo,Chris Smalling,Enis Bardhi,Romarinho,176.7,34332728,0.0351,-3.469446951953614e-17
85,Rafa Mir,Akimi Barada,João Ricardo,Hugo Rodríguez,185.6,25313432,0.021,0.002295999999999968
86,Brian Lozano,Arthur Cabral,Connor Roberts,João Ricardo,193.29999999999998,28242734,0.0346,0.00046400000000005465
87,Henrikh Mkhitaryan,João Ricardo,Sheraldo Becker,Lucas Esteves,173.20000000000002,34342822,0.0359,-0.0006770000000000387
88,Fernando Miguel,Brayan Trejo,Andreas Voglsammer,Felix Torres,184.9,38233126,0.0325,0.0017900000000000485
89,Edward Chilufya,João Ricardo,Hiroyuki Abe,Raphaël Varane,163.0,23343329,0.0322,5.8000000000002494e-05
90,João Ricardo,Hiroyuki Abe,Sébastien Corchia,Moise Kean,162.7,34333222,0.0318,0.0013370000000000187
91,Benjamin Henrichs,João Ricardo,Emil Forsberg,Rafa Mir,175.99999999999997,25343125,0.0262,0.001056000000000036
92,João Ricardo,Andreas Voglsammer,Lucas Esteves,Sebastián Coates,172.0,34312232,0.0354,-0.000637999999999965
93,Fernando Miguel,Wendell,Emil Forsberg,Rafa Mir,183.9,38293125,0.0357,0.00041499999999995013
94,Moises,Sébastien Corchia,Jordan Teze,João Ricardo,179.1,26322334,0.0323,-0.0012029999999999402
95,George Honeyman,Tom Bradshaw,Edmond Tapsoba,João Ricardo,170.29999999999998,28302434,0.030699999999999998,0.0016319999999999599
96,Islam Slimani,Pere Pons,Fernando Miguel,Kasim Adams,171.3,34303827,0.0345,-0.0002060000000000048
97,Luka Modrić,Marcos Acuña,João Ricardo,Matteo Politano,185.7,37313429,0.034499999999999996,0.00011499999999999705
98,Nacho,Andrei Girotto,João Ricardo,Cristian Pavón,181.2,33313427,0.0398,-0.0008449999999999569
99,João Ricardo,Marcel Halstenberg,Ismail Jakobs,Julián Quiñones,177.10000000000002,34312325,0.0403,-0.0028339999999999685
