"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","font-semibold","text-rare","font-semibold 2","text-super-rare","font-semibold 3"
"1st","https://www.soraredata.com/player/69514649794500782574156372786098048808183056372987640714909404652714441528355","https://assets.sorare.com/player/e468eaf2-c164-4bed-955f-5eee31cbae66/picture/avatar-f219c8a2b598df9fd0804549e5bae7ad.png","Raphaël Guerreiro","Defender  - 29","73.5","100%  PLAYED","79.0","87%  PLAYED","65.0","75%  PLAYED","Ξ 0,0353","3-day average","Ξ 0,219","3-day average","Ξ 1,027","2-week average"
"2nd","https://www.soraredata.com/player/2131789614129711069437843452488131406807081772713601426385532324179566478458","https://assets.sorare.com/player/ca76bbf2-7579-42c0-b6a1-a34837098d3b/picture/avatar-c372c3ce7389c673555cc40104a20920.png","Rômulo","Midfielder  - 27","67.0","100%  PLAYED","78.6","100%  PLAYED","64.9","95%  PLAYED","No sale","Last public sale","Ξ 0,860","Last public sale","Ξ 0,250",""
"3rd","https://www.soraredata.com/player/23020281842547486686184178925374677321883913072547913892396729666881803160610","https://assets.sorare.com/player/54ec4448-41ae-4c86-8c17-d130139bb067/picture/avatar-a84f0b7e0be8e1a14fadae4478ac0fa2.png","Marvin Wanitzek","Midfielder  - 29","78.9","100%  PLAYED","77.9","100%  PLAYED","69.7","98%  PLAYED","Ξ 0,0424","3-day average","Ξ 0,419","2-week average","Ξ 1,860","Last public sale"
"4th","https://www.soraredata.com/player/25231422346618897466161184991066014710242912075232564827261144631247649555194","https://assets.sorare.com/player/9ef65b0a-f901-41fe-b6a1-b8af3a9fcef5/picture/avatar-ce63d2a9f3c92146fcc21ff65e53b1b2.png","Lionel Messi","Forward  - 35","70.5","100%  PLAYED","76.2","93%  PLAYED","77.8","85%  PLAYED","Ξ 0,0798","3-day average","Ξ 0,680","3-day average","Ξ 3,704","3-day average"
"5th","https://www.soraredata.com/player/35038311752120278071619477081153224633324202400622245866546012409913361955818","https://assets.sorare.com/player/61f01ba8-e1ed-4c89-9066-bd55f6d0a416/picture/avatar-a68cd1e3808b0f1e9d6c9ee5fa927255.png","Malcom","Forward  - 26","75.4","100%  PLAYED","74.9","100%  PLAYED","69.6","98%  PLAYED","Ξ 0,0966","7-day average","Ξ 1,353","Last public sale","Ξ 5,595","Last public sale"
"6th","https://www.soraredata.com/player/3558382120827233735723816500193313364662938234811237976238517430585021577354","https://assets.sorare.com/player/3d24d845-4f84-428e-9099-6ed4f2038f68/picture/avatar-64bb281bfd9866b7b7af0ae7f8aaaf42.png","Grimaldo","Defender  - 27","64.0","100%  PLAYED","71.8","100%  PLAYED","70.1","98%  PLAYED","Ξ 0,0296","3-day average","Ξ 0,216","3-day average","Ξ 1,082","1-month average"
"7th","https://www.soraredata.com/player/32641747953423766876691630993329066447991873658370681259308780412800620090515","https://assets.sorare.com/player/db9c49e4-ce4a-4e11-b6df-702ab449154b/picture/avatar-e8144f898d68bed51e2acc191cded9b4.png","Joshua Kimmich","Midfielder  - 28","74.9","100%  PLAYED","71.7","93%  PLAYED","70.2","95%  PLAYED","Ξ 0,146","3-day average","Ξ 1,644","7-day average","Ξ 9,000","Last public sale"
"8th","https://www.soraredata.com/player/43195256875355991471866845618032439148387286626356918709196339378958004426646","https://assets.sorare.com/player/15639396-cbaf-4fbe-8d4c-c0d6b6dd1fca/picture/avatar-f8319fe3e203619321c2e57a2b1b3a09.png","Yoann Barbet","Defender  - 29","79.3","100%  PLAYED","71.7","93%  PLAYED","62.6","75%  PLAYED","Ξ 0,0111","3-day average","Ξ 0,0421","2-week average","No sale",""
"9th","https://www.soraredata.com/player/64670542841878580205737389732954724591915499784084069350140660426898429671737","https://assets.sorare.com/player/4b385972-46b6-4389-a970-8e30431787d2/picture/avatar-be53d0ab9c50c9d13298f337f42c8124.png","Solly March","Midfielder  - 28","65.3","100%  PLAYED","69.5","100%  PLAYED","55.0","98%  PLAYED","Ξ 0,0172","3-day average","Ξ 0,188","7-day average","Ξ 0,890","3-day average"
"10th","https://www.soraredata.com/player/50166400733305245987445259038581862248098165934427002536851741874241679137447","https://assets.sorare.com/player/fb2d8eb4-db7e-4294-98bd-46bae13a0757/picture/avatar-ae64b698325dae91da2fcdc5942a63a7.png","Dušan Tadić","Forward  - 34","59.7","100%  PLAYED","69.3","100%  PLAYED","68.7","98%  PLAYED","Ξ 0,0369","3-day average","Ξ 0,401","7-day average","Ξ 3,685","Last public sale"
