"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","font-semibold","text-rare","font-semibold 2","text-super-rare","font-semibold 3"
"11th","https://www.soraredata.com/player/12716462753139595166326520650089875784934892483788919802536801151136368760777","https://assets.sorare.com/player/6c08e86e-f866-4d3b-971f-c89cd727228c/picture/avatar-3c8e569942b5f3bed59185ea2b7ed049.png","Gastón Brugman","Midfielder  - 30","66.4","100%  PLAYED","69.0","100%  PLAYED","58.4","88%  PLAYED","Ξ 0,0289","3-day average","Ξ 0,232","3-day average","Ξ 1,418","2-week average"
"12th","https://www.soraredata.com/player/104622056433111170655983389736914553737237366341066075304052369386371835005180","https://assets.sorare.com/player/a2aec7ad-8915-46eb-b896-6d3a3a9ecac6/picture/avatar-e3ab33e1c327750a5a9ce65ac112f0e3.png","Václav Černý","Forward  - 25","79.5","80%  PLAYED","68.9","93%  PLAYED","56.3","90%  PLAYED","Ξ 0,0230","3-day average","Ξ 0,205","3-day average","Ξ 0,762","Last public sale"
"13th","https://www.soraredata.com/player/salem-mohammed-al-dawsari","","Salem Al Dawsari","Midfielder  - 31","68.5","100%  PLAYED","68.7","87%  PLAYED","59.8","75%  PLAYED","No sale","","No sale","","No sale",""
"14th","https://www.soraredata.com/player/22915234903449158246403537433902045987288409333852354082917216816513783018829","https://assets.sorare.com/player/384d2f5e-cc75-415e-816f-daa9bfbc23eb/picture/avatar-f17f6f94efa7649f344ea5b4d58e9b53.png","Nicolás Otamendi","Defender  - 35","61.2","80%  PLAYED","68.6","93%  PLAYED","63.8","95%  PLAYED","Ξ 0,0136","3-day average","Ξ 0,123","3-day average","Ξ 1,233","1-month average"
"15th","https://www.soraredata.com/player/115502783806294754635756980129263996521966392394151697039885723299742156540155","https://assets.sorare.com/player/63636c27-445c-471b-8b3f-ce69c54a578e/picture/avatar-b352e21d14ebaf33ff10ed2c156ea5b5.png","Trent Alexander-Arnold","Defender  - 24","81.0","100%  PLAYED","68.4","93%  PLAYED","61.0","83%  PLAYED","Ξ 0,0621","3-day average","Ξ 0,694","7-day average","Ξ 5,389","Last public sale"
"16th","https://www.soraredata.com/player/84420280232705767100744134726285460114191349910111319343201787663372845826792","https://assets.sorare.com/player/b8192097-da7c-485d-9527-e1de4905449e/picture/avatar-197f05c0a6e8625fe7d68c55241e907d.png","Douglas Santos","Defender  - 29","74.3","100%  PLAYED","68.3","100%  PLAYED","71.0","98%  PLAYED","Ξ 0,0964","7-day average","Ξ 1,050","Last public sale","Ξ 2,000","Last public sale"
"17th","https://www.soraredata.com/player/3593012810192446240948911151921268563717233271674070333711194484543721176885","https://assets.sorare.com/player/2ee10717-f7d3-4fe0-b20b-2840f9617c84/picture/avatar-b8bcb99ea275e9d98069b6d8567fce45.png","Borna Barišić","Defender  - 30","69.0","100%  PLAYED","68.3","87%  PLAYED","60.4","73%  PLAYED","No sale","","No sale","","No sale",""
"18th","https://www.soraredata.com/player/90850985514124156614183936080320098852987847427397410787590772594054429464526","https://assets.sorare.com/player/888b1e56-4291-40f4-ab73-5b6178dc2089/picture/avatar-c758e0f8b1e375f53a0b3b10582bdd58.png","Carl Starfelt","Defender  - 27","54.7","80%  PLAYED","67.6","87%  PLAYED","64.2","60%  PLAYED","Ξ 0,0147","3-day average","Ξ 0,145","7-day average","Ξ 0,879","1-month average"
"19th","https://www.soraredata.com/player/63139827285162964605001918228887518791015358190577254038781280659280686291314","https://assets.sorare.com/player/0de2e37a-c74e-4d5c-b91a-1f0cce60c446/picture/avatar-f85d8c49edcab65f8a961a3c4808a0cf.png","Cameron Carter-Vickers","Defender  - 25","63.2","80%  PLAYED","67.5","87%  PLAYED","60.1","78%  PLAYED","Ξ 0,0183","3-day average","Ξ 0,242","7-day average","Ξ 1,461","1-month average"
"20th","https://www.soraredata.com/player/11380650895824792192607671750482561013813529825534501702201722646735522134231","https://assets.sorare.com/player/756e0179-73dd-41e3-ae5f-5912e8e068a4/picture/avatar-deb4da97419aade9a2f39bd738fd143c.png","Pierre Lees-Melou","Midfielder  - 29","71.8","80%  PLAYED","67.5","87%  PLAYED","55.9","85%  PLAYED","Ξ 0,0170","3-day average","Ξ 0,0792","3-day average","Ξ 0,303","Last public sale"
"21st","https://www.soraredata.com/player/85435969380829869009441428396032997018185861175324502122890445931099595239035","https://assets.sorare.com/player/a32b4dfd-2649-4f87-afc1-f2d96e2ee95c/picture/avatar-3b90c510e591a7ff2c28c4d90eaa9602.png","Moussa Doumbia","Forward  - 28","74.2","80%  PLAYED","67.5","93%  PLAYED","57.9","80%  PLAYED","Ξ 0,0082","3-day average","Ξ 0,106","7-day average","Ξ 0,365","1-month average"
"22nd","https://www.soraredata.com/player/87142952218475462127237082464639844057122613122082017122534970902361194627899","https://assets.sorare.com/player/e0abc89e-0082-4c3d-a7d4-3933a3414490/picture/avatar-5da81b3eb06e19916e622c7d46c9b86a.png","Tim Kleindienst","Forward  - 27","61.6","100%  PLAYED","67.2","100%  PLAYED","57.1","90%  PLAYED","Ξ 0,0195","3-day average","Ξ 0,127","3-day average","Ξ 0,506","2-week average"
"23rd","https://www.soraredata.com/player/77707760391596557921096752431889753634827807417738453742111889379634886865454","https://assets.sorare.com/player/aeac9643-8443-4be7-addd-275418ac894c/picture/avatar-398130eb1ecf2bd01d652cd385e1f5df.png","Kylian Mbappé","Forward  - 24","72.1","100%  PLAYED","67.2","93%  PLAYED","65.6","93%  PLAYED","Ξ 0,226","3-day average","Ξ 2,779","3-day average","Ξ 17,08","Last public sale"
"24th","https://www.soraredata.com/player/63814162580966165102652341547596580711379790192526020730022238903644349835904","https://assets.sorare.com/player/4ef0231f-d225-4c78-88b3-6136ef79f570/picture/avatar-8be86d40e19bf3b802e3aaaea601c99d.png","Pedro Gonçalves","Midfielder  - 24","54.6","100%  PLAYED","67.2","100%  PLAYED","60.0","95%  PLAYED","Ξ 0,0325","3-day average","Ξ 0,325","2-week average","Ξ 2,000","Last public sale"
"25th","https://www.soraredata.com/player/63765650263197420909230885813830239446454018625949119526813655218552103555939","https://assets.sorare.com/player/a3c6c8e5-bd03-464f-9d30-06b2f6af4860/picture/avatar-e06f345940240487d54ffd7b71f2e7b3.png","Maksim Osipenko","Defender  - 28","66.7","100%  PLAYED","67.1","100%  PLAYED","62.4","98%  PLAYED","Ξ 0,0398","7-day average","Ξ 0,268","Last public sale","Ξ 0,129","Last public sale"
"26th","https://www.soraredata.com/player/83545636378722849589055741524348006232217543620944037407112792279990833899704","https://assets.sorare.com/player/c8337c34-9ec3-4c4e-9d9f-f46e0475333c/picture/avatar-1eae52d1cd9172871cce1e376c16859f.png","Barış Atik","Forward  - 28","74.7","100%  PLAYED","67.1","93%  PLAYED","NA","0%  PLAYED","Ξ 0,0105","3-day average","Ξ 0,109","7-day average","Ξ 0,637","1-month average"
"27th","https://www.soraredata.com/player/75384613528152837342554636896635314658645142314782469753248553925823551221096","https://assets.sorare.com/player/fe8f17ed-d8c4-4ace-a2f0-0c26e1462514/picture/avatar-ecbceffa5dcf6d5c3b84f4949c303b7f.png","Ramiz Zerrouki","Midfielder  - 24","63.1","100%  PLAYED","67.0","87%  PLAYED","62.1","95%  PLAYED","Ξ 0,0166","3-day average","Ξ 0,175","7-day average","Ξ 0,822","2-week average"
"28th","https://www.soraredata.com/player/78763407847611451347360343233563862491180646733048184164107131292020409201541","https://assets.sorare.com/player/532c9e27-17e1-420e-9cbd-4c5423fe77e8/picture/avatar-b195aaba566fb032dcf6ca2dc8255ff6.png","Jonathan Viera","Midfielder  - 33","64.1","80%  PLAYED","66.7","80%  PLAYED","62.6","75%  PLAYED","Ξ 0,0056","3-day average","Ξ 0,0760","3-day average","Ξ 0,517","2-week average"
"29th","https://www.soraredata.com/player/115271402966777520270463457197429300272350746287501362346510565375853898487123","https://assets.sorare.com/player/6793d64a-5de6-4a35-8f22-0f5ddf4a35a2/picture/avatar-ffe864573f6463acd0ea3bc2cef17856.png","Declan Rice","Midfielder  - 24","72.8","80%  PLAYED","66.3","87%  PLAYED","58.4","93%  PLAYED","Ξ 0,0215","3-day average","Ξ 0,242","3-day average","Ξ 1,141","1-month average"
"30th","https://www.soraredata.com/player/salman-mohammed-al-faraj","","Salman Al Faraj","Midfielder  - 33","52.3","80%  PLAYED","66.2","87%  PLAYED","59.1","68%  PLAYED","No sale","","No sale","","No sale",""
"31st","https://www.soraredata.com/player/53597940008638384383840215134415154626419580536894691235996960117046679215776","https://assets.sorare.com/player/4cdd418b-a5be-4a9f-90c5-79fd14f1781c/picture/avatar-ae768acddf6e597215d14021669481e0.png","Alexander Alvarado","Midfielder  - 24","72.8","100%  PLAYED","66.2","100%  PLAYED","61.3","88%  PLAYED","Ξ 0,0284","3-day average","Ξ 0,210","3-day average","Ξ 0,884","Last public sale"
"32nd","https://www.soraredata.com/player/65441613306010224562594502097393692438038404956415202193606578151814643863805","https://assets.sorare.com/player/7d3b3d4c-4c12-42da-b991-53fe6ef2fa5a/picture/avatar-91c886004d2a73bba6dc6310823ce0fa.png","Kerem Aktürkoğlu","Forward  - 24","71.5","100%  PLAYED","66.0","100%  PLAYED","53.6","100%  PLAYED","Ξ 0,0315","3-day average","Ξ 0,167","3-day average","Ξ 0,950","3-day average"
"33rd","https://www.soraredata.com/player/102691641195675423175996992804967151848568508448371629070986104915893268336101","https://assets.sorare.com/player/57997ae5-4f5e-4a82-9d34-1923ea00d8ba/picture/avatar-e943b2ad63cb25d4dc31a3b81e1cdcc3.png","Erling Haaland","Forward  - 22","73.5","100%  PLAYED","66.0","87%  PLAYED","63.1","88%  PLAYED","Ξ 0,212","3-day average","Ξ 1,778","7-day average","Ξ 11,70","2-week average"
"34th","https://www.soraredata.com/player/20944442293951208381438825998167856133164986042693738156594075726473049182444","https://assets.sorare.com/player/4aa24f64-0b54-4617-b7ed-d30c7edc1708/picture/avatar-5a0ad96fc86b4ebfbd4d00861354f9fc.png","Iñigo Vicente","Forward  - 25","61.9","100%  PLAYED","66.0","100%  PLAYED","54.2","98%  PLAYED","Ξ 0,0068","3-day average","Ξ 0,0600","2-week average","Ξ 0,481","Last public sale"
"35th","https://www.soraredata.com/player/12572712639473564377868426251577374087867017371932358556250772629209150918915","https://assets.sorare.com/player/83671d16-7c48-4700-9706-45a7639571b9/picture/avatar-3984ae27b9dc05ffda2582a4a21e4823.png","Yunis Abdelhamid","Defender  - 35","55.8","100%  PLAYED","65.9","100%  PLAYED","57.2","98%  PLAYED","Ξ 0,0032","3-day average","Ξ 0,0250","3-day average","Ξ 0,493","Last public sale"
"36th","https://www.soraredata.com/player/35289346469268715318286720186896563773387834146371331919687596617989989988542","https://assets.sorare.com/player/9a25ea35-1c18-43b9-8514-e689b64dd9c2/picture/avatar-8bc28fc1ce348f66ef3afe6e9142503c.png","Leandro González Pirez","Defender  - 31","53.0","80%  PLAYED","65.9","80%  PLAYED","58.6","48%  PLAYED","Ξ 0,0154","3-day average","Ξ 0,120","3-day average","Ξ 0,175","Last public sale"
"37th","https://www.soraredata.com/player/44137301699431911533520412001512548801932059718009445384037114452994980758032","https://assets.sorare.com/player/b1dc0fb9-013c-4573-9ad8-8146906203bd/picture/avatar-b3ba704dac108e8b2e753872126904f3.png","Mohammed Kudus","Midfielder  - 22","33.5","40%  PLAYED","65.8","80%  PLAYED","52.8","90%  PLAYED","Ξ 0,0228","3-day average","Ξ 0,157","7-day average","Ξ 1,125","Last public sale"
"38th","https://www.soraredata.com/player/98949402274562106785216172959217457676268320505303961915951833413928535184697","https://assets.sorare.com/player/9bcb61ee-0ea4-40e8-a7fc-46a43826a2fc/picture/avatar-fa783d716fc684cbafd5d6bee85c6571.png","Oumar Solet","Defender  - 23","62.0","100%  PLAYED","65.7","80%  PLAYED","68.7","75%  PLAYED","Ξ 0,0205","3-day average","Ξ 0,187","3-day average","Ξ 1,034","1-month average"
"39th","https://www.soraredata.com/player/95791126090236003040101846245956166842297933478083821256675088636247743696848","https://assets.sorare.com/player/acbf1cf9-8019-406c-b174-6e753102f509/picture/avatar-a9c527bd0adeff576b4505b8ae70b179.png","Nico Schlotterbeck","Defender  - 23","39.3","40%  PLAYED","65.7","80%  PLAYED","61.8","88%  PLAYED","Ξ 0,0438","3-day average","Ξ 0,503","7-day average","Ξ 4,079","Last public sale"
"40th","https://www.soraredata.com/player/54538270079464929751342783103746094653352628007723961839012373761584933041592","https://assets.sorare.com/player/5e866f58-a02f-430f-9632-83a1349827ae/picture/avatar-28465d92c4ad6a30a9919812f2ad7262.png","Maximilian Meyer","Midfielder  - 27","71.6","60%  PLAYED","65.7","87%  PLAYED","57.6","73%  PLAYED","No sale","","No sale","","No sale",""
"41st","https://www.soraredata.com/player/98774637337413432031202097740829795153713358821649474254331189588818936588281","https://assets.sorare.com/player/95e2ea7e-4d30-4124-b961-f5b005dc0f13/picture/avatar-9563f4d3fe6c00d0c60b7ab65a3547b4.png","Carlo Holse","Forward  - 23","53.9","80%  PLAYED","65.7","80%  PLAYED","59.6","93%  PLAYED","Ξ 0,0338","3-day average","Ξ 0,268","3-day average","Ξ 1,082","Last public sale"
"42nd","https://www.soraredata.com/player/27207318521971775627312501528796434835860758253950706758620771952892837981480","https://assets.sorare.com/player/43734791-118a-4cf6-88bc-eb122cce09a3/picture/avatar-831f1b3194e91fb2437c9592238327ea.png","Kim Min-Jae","Defender  - 26","58.7","80%  PLAYED","65.5","93%  PLAYED","60.1","95%  PLAYED","Ξ 0,0328","3-day average","Ξ 0,300","1-month average","Ξ 1,500","Last public sale"
"43rd","https://www.soraredata.com/player/27433012794674677702938871923412498600357092582108437308134173645579321994827","https://assets.sorare.com/player/474e75cb-702a-4759-9ee8-79e40b81f319/picture/avatar-ea44bcb454eb9aab214514f7dfaf1c3a.png","Lewis Dunk","Defender  - 31","68.9","100%  PLAYED","65.3","100%  PLAYED","53.2","100%  PLAYED","Ξ 0,0126","3-day average","Ξ 0,0906","3-day average","Ξ 0,490","1-month average"
"44th","https://www.soraredata.com/player/110373254407745243959891679292179737590069177522240396117550509107209020185338","https://assets.sorare.com/player/a0dfee77-29c2-4079-a49a-dc084ff924a3/picture/avatar-1fbfea558f55abe46a7a2a590caac758.png","Quincy Promes","Midfielder  - 31","44.5","60%  PLAYED","65.3","80%  PLAYED","61.7","85%  PLAYED","Ξ 0,0231","2-week average","Ξ 0,600","Last public sale","Ξ 1,500","Last public sale"
"45th","https://www.soraredata.com/player/86145571730835292072949958357039700729744869630887644054889333953827293424196","https://assets.sorare.com/player/ce627464-33ae-4329-8853-a77719492469/picture/avatar-170e93f14cac869a69e8a35a0ac78209.png","Jota","Forward  - 24","94.1","60%  PLAYED","65.2","87%  PLAYED","64.0","85%  PLAYED","Ξ 0,0404","3-day average","Ξ 0,401","3-day average","Ξ 2,366","2-week average"
"46th","https://www.soraredata.com/player/62522580484598003359140015718531330666536030295759480742544832071794874041466","https://assets.sorare.com/player/dfbda319-96f9-478a-b8ea-e2233d5ed47f/picture/avatar-40f4fb00c6111b61b57ff63eb9cea0a1.png","Nathan Aké","Defender  - 28","69.4","40%  PLAYED","65.2","80%  PLAYED","56.9","80%  PLAYED","Ξ 0,0090","3-day average","Ξ 0,0740","3-day average","Ξ 0,393","7-day average"
"47th","https://www.soraredata.com/player/88423868657148842088603886851036840836437574848651526201103537352995235558619","https://assets.sorare.com/player/0e2dbd76-1f1a-427d-8823-6085c3998133/picture/avatar-dec92aeb032aed8cdff145fed2f95e06.png","Xavi Simons","Midfielder  - 20","62.9","100%  PLAYED","65.2","100%  PLAYED","59.1","88%  PLAYED","Ξ 0,0476","3-day average","Ξ 0,450","3-day average","Ξ 2,914","Last public sale"
"48th","https://www.soraredata.com/player/85696243050799167100456163387498817560484299481597904229425493460659217963176","https://assets.sorare.com/player/27619c53-039a-48fe-b860-129e03068c76/picture/avatar-f06da588da1373ec7ec5b814ba363346.png","Papa N'Diaye","Midfielder  - 32","68.7","80%  PLAYED","65.2","93%  PLAYED","58.7","93%  PLAYED","Ξ 0,0060","3-day average","Ξ 0,0914","2-week average","Ξ 0,337","Last public sale"
"49th","https://www.soraredata.com/player/107145245966437661498482755048075201689296623909819616783691778658521555569367","https://assets.sorare.com/player/df1d073d-b694-451a-8c69-d3b7c39a340d/picture/avatar-25393189fa15a7c46f84452b9e8bbc8e.png","Kylian Kaïboué","Midfielder  - 24","61.4","100%  PLAYED","65.2","93%  PLAYED","60.4","85%  PLAYED","Ξ 0,0106","3-day average","Ξ 0,100","3-day average","Ξ 1,250","Last public sale"
"50th","https://www.soraredata.com/player/5453917262299321942876474651067182182149899985626886392461109387463529157486","https://assets.sorare.com/player/b0b54568-e871-4484-81e1-2304a101e382/picture/avatar-44f8cb4828df13ab80455f52a7f6f347.png","Elber","Forward  - 30","69.8","100%  PLAYED","65.2","100%  PLAYED","58.8","85%  PLAYED","Ξ 0,0338","3-day average","Ξ 0,260","3-day average","Ξ 0,630","Last public sale"
"51st","https://www.soraredata.com/player/88678156383373702090626835703604057829530415976980849390557937703108338506812","https://assets.sorare.com/player/d6f9f3e3-99b0-451c-9286-2547f7634473/picture/avatar-e17a092809b40bd63cf63f001b61f3e7.png","Joey Veerman","Midfielder  - 24","59.5","100%  PLAYED","65.0","100%  PLAYED","62.9","98%  PLAYED","Ξ 0,0241","3-day average","Ξ 0,302","7-day average","Ξ 2,720","Last public sale"
"52nd","https://www.soraredata.com/player/94093600118610829028292293586075402144036541188890769950927360004282655165221","https://assets.sorare.com/player/6ae9c3fa-1eff-4171-bc90-0ae21b7c3ae5/picture/avatar-38844afa1f86cf89b9cc61872dd7d230.png","Mohamed Daramy","Forward  - 21","68.7","100%  PLAYED","65.0","100%  PLAYED","53.5","88%  PLAYED","Ξ 0,0342","7-day average","Ξ 0,420","Last public sale","Ξ 0,836","Last public sale"
"53rd","https://www.soraredata.com/player/51269246195159491859942419901226557230033896780465776508700695990109678867255","https://assets.sorare.com/player/12639392-b244-495e-8d31-ff35fdcef7c6/picture/avatar-c89cf338a3de9b12aaf827505ca31f6d.png","Virgil van Dijk","Defender  - 31","68.4","100%  PLAYED","64.9","93%  PLAYED","56.7","88%  PLAYED","Ξ 0,0238","3-day average","Ξ 0,227","3-day average","Ξ 2,061","Last public sale"
"54th","https://www.soraredata.com/player/67276307365755507633965872098423373033481787212391097079707776109135879887451","https://assets.sorare.com/player/3fbb3784-1d88-48bc-9a2d-6fff1d65f887/picture/avatar-b34a6ebf44b4d92acd6d7fcc84fc9f6d.png","Julien De Sart","Midfielder  - 28","64.0","100%  PLAYED","64.9","100%  PLAYED","53.6","78%  PLAYED","Ξ 0,0105","3-day average","Ξ 0,138","3-day average","Ξ 0,451","1-month average"
"55th","https://www.soraredata.com/player/24709704725740746948779878524450989567029208674914367491952779600306757821916","https://assets.sorare.com/player/91f5a54d-59ff-45ff-a862-76e7a415c119/picture/avatar-c14f87951e2c563a3d0161a95b7d7d4f.png","Stefan Ristovski","Defender  - 31","54.3","80%  PLAYED","64.9","93%  PLAYED","57.2","75%  PLAYED","Ξ 0,0057","3-day average","Ξ 0,0670","7-day average","Ξ 0,350","3-day average"
"56th","https://www.soraredata.com/player/89031364245228937905136371034507688627694580808325569262778318486994494180102","https://assets.sorare.com/player/a78217fb-2735-4540-bf9b-2f4797d7f6d8/picture/avatar-07e2621d3164bc0a4dae9c9da4202599.png","Julian Gressel","Midfielder  - 29","59.7","100%  PLAYED","64.8","93%  PLAYED","53.4","93%  PLAYED","Ξ 0,0198","3-day average","Ξ 0,165","3-day average","Ξ 0,800","7-day average"
"57th","https://www.soraredata.com/player/11787457460768363215538030188092007577661770134776418354441259227811890068953","https://assets.sorare.com/player/465af818-c585-470a-bf4b-79dcb0629c39/picture/avatar-e9086764b269757ce7ae5cc0979af238.png","Carles Gil","Midfielder  - 30","72.1","100%  PLAYED","64.7","87%  PLAYED","65.8","95%  PLAYED","Ξ 0,0554","3-day average","Ξ 0,636","2-week average","Ξ 3,233","Last public sale"
"58th","https://www.soraredata.com/player/47972318952323216850153139571022072876779069147153771575511154025099371692633","https://assets.sorare.com/player/2c93652d-66d7-4dd0-b415-91fbe7c273e8/picture/avatar-655a576c74c239b4943aa1908b3621c7.png","Artem Timofeev","Midfielder  - 29","59.8","80%  PLAYED","64.6","87%  PLAYED","55.0","90%  PLAYED","Ξ 0,0087","3-day average","Ξ 0,150","Last public sale","Ξ 0,686","Last public sale"
"59th","https://www.soraredata.com/player/68546597805805669957723388299846722898098458987219829743738665626342287013760","https://assets.sorare.com/player/ddd2b7e5-b142-48a3-b633-5e3474e3a089/picture/avatar-f5b8d1cc9f84e8be2ea4c999bfc49b9a.png","Josep Martínez","Goalkeeper  - 24","69.8","100%  PLAYED","64.6","100%  PLAYED","59.7","68%  PLAYED","Ξ 0,0367","3-day average","Ξ 0,465","Last public sale","Ξ 0,550","Last public sale"
"60th","https://www.soraredata.com/player/75597369829963831282538118321744091313258006789913817333721469483682530070695","https://assets.sorare.com/player/4a68bb41-5f33-44f5-b523-9a4551c93678/picture/avatar-551d9541702944103fe01a606a3c61b4.png","Yoon Bit-Garam","Midfielder  - 32","74.7","100%  PLAYED","64.5","87%  PLAYED","61.9","53%  PLAYED","Ξ 0,0126","3-day average","Ξ 0,119","7-day average","Ξ 0,426","1-month average"
"61st","https://www.soraredata.com/player/39194610022614716787425813074083685987997022025032206453904527057656812739696","https://assets.sorare.com/player/36da7fd0-0acb-4651-9dd6-87ccacce219c/picture/avatar-3bfd38241d5179c5057d07d7820e73a8.png","Martin Baturina","Midfielder  - 20","67.2","100%  PLAYED","64.5","100%  PLAYED","54.2","93%  PLAYED","Ξ 0,0269","3-day average","Ξ 0,235","7-day average","Ξ 1,456","Last public sale"
"62nd","https://www.soraredata.com/player/8838875501452907642248134281069987141500710862226767745798512958857367928545","https://assets.sorare.com/player/d7a3de1d-e1a9-4eda-bf30-b30119bbf4b5/picture/avatar-bc330f4b45e3fd21b232c0232c47f210.png","Mike Maignan","Goalkeeper  - 27","55.9","100%  PLAYED","64.3","100%  PLAYED","59.9","45%  PLAYED","Ξ 0,123","3-day average","Ξ 0,950","2-week average","Ξ 6,000","Last public sale"
"63rd","https://www.soraredata.com/player/91549207453607127694744683521929520206040954289804506559334205517872200510721","https://assets.sorare.com/player/97648e11-dbde-47d0-9542-73994c3a0a2a/picture/avatar-5b3af12c4295165a22934891f4cf45ab.png","Gijs Smal","Defender  - 25","68.9","100%  PLAYED","64.2","100%  PLAYED","62.8","100%  PLAYED","Ξ 0,0137","3-day average","Ξ 0,156","3-day average","Ξ 1,721","Last public sale"
"64th","https://www.soraredata.com/player/85697731026057585999977427155471983082317994132491022163184316991915329194828","https://assets.sorare.com/player/c2420580-d3f9-45fb-a995-2338d1b606fc/picture/avatar-6cd37b16e13d0a48534abc3241f8f2d0.png","Rúben Dias","Defender  - 25","54.3","100%  PLAYED","64.2","100%  PLAYED","55.8","80%  PLAYED","Ξ 0,0376","3-day average","Ξ 0,249","7-day average","Ξ 1,901","Last public sale"
