3xl:text-lg,2xl:text-med,text-textGrey4,font-bold 2,text-limited
88th,Hugo Cuypers,Forward  - 25,51.2,"Ξ 0,0485"
89th,Ravil Tagir,Defender  - 19,51.1,"Ξ 0,0133"
90th,Bart Nieuwkoop,Defender  - 26,51.0,"Ξ 0,0112"
91st,Bryan Reynolds,Defender  - 21,50.6,"Ξ 0,0144"
92nd,Andrew Halliday,Midfielder  - 31,50.5,"Ξ 0,0020"
93rd,Vertonghen,Defender  - 35,50.3,"Ξ 0,0107"
94th,Habib Keita,Midfielder  - 20,50.2,"Ξ 0,0091"
95th,Ylber Ramadani,Midfielder  - 26,50.2,"Ξ 0,0073"
96th,Christian Brüls,Midfielder  - 34,50.2,"Ξ 0,0039"
97th,Lyle Foster,Forward  - 22,50.1,"Ξ 0,0261"
98th,Ferran Jutglà,Forward  - 23,50.0,"Ξ 0,0766"
99th,Ben Davies,Defender  - 27,49.9,No sale
100th,Marco Ilaimaharitra,Midfielder  - 27,49.9,"Ξ 0,0033"
101st,Merveille Bokadi,Midfielder  - 26,49.7,"Ξ 0,0051"
102nd,Joshua Ginnelly,Forward  - 25,49.7,"Ξ 0,0096"
103rd,Simon Mignolet,Goalkeeper  - 34,49.6,"Ξ 0,0809"
104th,Calvin Stengs,Forward  - 24,49.5,No sale
105th,Ashton Taylor,Defender  - 32,49.5,"Ξ 0,0040"
106th,Jelle Vossen,Forward  - 33,49.4,"Ξ 0,0030"
107th,Ryan Strain,Midfielder  - 25,49.3,"Ξ 0,0023"
108th,Joachim Andersen,Defender  - 26,49.3,No sale
109th,Thierry Ambrose,Forward  - 25,49.3,"Ξ 0,0073"
110th,Manuel Akanji,Defender  - 27,49.3,"Ξ 0,0211"
111th,Fashion Sakala,Forward  - 25,49.2,No sale
112th,Aron Dønnum,Midfielder  - 24,49.0,"Ξ 0,0068"
113th,Leonardo Lopes,Midfielder  - 24,49.0,"Ξ 0,0055"
114th,Vadis Odjidja-Ofoe,Midfielder  - 33,49.0,"Ξ 0,0052"
115th,Ismaël Kandouss,Defender  - 25,48.9,"Ξ 0,0055"
116th,Michael Smith,Defender  - 34,48.9,"Ξ 0,0048"
117th,Michael Ngadeu,Defender  - 32,48.8,"Ξ 0,0188"
118th,Casper Nielsen,Midfielder  - 28,48.8,"Ξ 0,0258"
119th,Ayase Ueda,Forward  - 24,48.7,"Ξ 0,0164"
120th,Anthony Moris,Goalkeeper  - 32,48.6,"Ξ 0,0633"
121st,Nene Dorgeles,Forward  - 20,48.5,"Ξ 0,0205"
122nd,Raphael Onyedika,Midfielder  - 21,48.5,"Ξ 0,0333"
123rd,Barrie McKay,Forward  - 28,48.1,"Ξ 0,0152"
124th,Alieu Fadera,Forward  - 21,48.0,"Ξ 0,0170"
125th,Frank Boya,Midfielder  - 26,48.0,"Ξ 0,0033"
126th,Scott McMann,Defender  - 26,47.9,"Ξ 0,0022"
127th,Fran Brodić,Forward  - 26,47.8,"Ξ 0,0092"
128th,Aaron Mooy,Midfielder  - 32,47.8,"Ξ 0,0107"
129th,Liam Scales,Defender  - 24,47.7,"Ξ 0,0065"
130th,Radosław Majecki,Goalkeeper  - 23,47.7,"Ξ 0,121"
131st,Jelle Bataille,Defender  - 23,47.7,"Ξ 0,0045"
132nd,Amadou Diawara,Midfielder  - 25,47.6,"Ξ 0,0048"
133rd,Julián Álvarez,Forward  - 22,47.6,"Ξ 0,130"
134th,Daichi Hayashi,Forward  - 25,47.6,"Ξ 0,0153"
135th,Kyogo Furuhashi,Forward  - 27,47.6,"Ξ 0,0641"
136th,Jonas Bager,Defender  - 26,47.5,"Ξ 0,0016"
137th,Laurent Depoitre,Forward  - 34,47.4,"Ξ 0,0032"
138th,Nikola Storm,Forward  - 28,47.3,"Ξ 0,0208"
139th,Jordan Ayew,Forward  - 31,47.3,No sale
140th,Jean Butez,Goalkeeper  - 27,47.1,"Ξ 0,0758"
141st,Jurgen Ekkelenkamp,Midfielder  - 22,47.1,"Ξ 0,0143"
142nd,Gustav Engvall,Forward  - 26,47.0,"Ξ 0,0025"
143rd,Jack Grealish,Midfielder  - 27,47.0,No sale
144th,Craig Sibbald,Midfielder  - 27,46.9,"Ξ 0,0021"
145th,Ewoud Pletinckx,Defender  - 22,46.9,"Ξ 0,0067"
146th,Toni Fruk,Midfielder  - 21,46.9,"Ξ 0,0026"
147th,Mark O'Hara,Midfielder  - 27,46.8,"Ξ 0,0017"
148th,Felipe Avenatti,Forward  - 29,46.7,"Ξ 0,0160"
149th,Halil Akbunar,Forward  - 29,46.6,"Ξ 0,0015"
150th,Aziz Behich,Defender  - 32,46.6,"Ξ 0,0023"
151st,Bernardo Silva,Midfielder  - 28,46.4,No sale
152nd,Anthony Stewart,Defender  - 30,46.1,"Ξ 0,0031"
153rd,Bjorn Meijer,Defender  - 19,45.9,"Ξ 0,0217"
154th,Loïc Lapoussin,Forward  - 26,45.8,"Ξ 0,0099"
155th,Sean Kelly,Defender  - 29,45.8,"Ξ 0,0021"
156th,Kye Rowles,Defender  - 24,45.6,"Ξ 0,0033"
157th,Regan Charles-Cook,Forward  - 25,45.6,"Ξ 0,0072"
158th,Lennart Moser,Goalkeeper  - 23,45.5,"Ξ 0,0735"
159th,Nicholas Devlin,Defender  - 29,45.4,"Ξ 0,0027"
160th,Liam Smith,Defender  - 26,45.4,"Ξ 0,0014"
161st,Moustapha Mbow,Defender  - 22,45.2,"Ξ 0,0160"
162nd,Hamza Mendyl,Defender  - 25,45.1,"Ξ 0,0024"
