3xl:text-lg,2xl:text-med,text-textGrey4,font-bold 2,text-limited
31st,Nicolas Rommens,Midfielder  - 28,56.5,"Ξ 0,0066"
32nd,Christian Eriksen,Midfielder  - 30,56.5,No sale
33rd,Nicolas Madsen,Midfielder  - 22,56.4,"Ξ 0,0210"
34th,Greg Taylor,Defender  - 25,56.4,"Ξ 0,0154"
35th,Robert Snodgrass,Midfielder  - 35,56.3,No sale
36th,Hans Vanaken,Midfielder  - 30,56.1,"Ξ 0,0689"
37th,Wolke Janssens,Defender  - 28,56.0,"Ξ 0,0068"
38th,Mark McKenzie,Defender  - 23,56.0,"Ξ 0,0197"
39th,Adem Zorgane,Midfielder  - 23,56.0,"Ξ 0,0302"
40th,Senne Lynen,Midfielder  - 23,55.9,"Ξ 0,0129"
41st,Malik Tillman,Midfielder  - 20,55.7,"Ξ 0,0577"
42nd,William Pacho,Defender  - 21,55.7,"Ξ 0,0340"
43rd,Clément Lenglet,Defender  - 27,55.5,"Ξ 0,0119"
44th,Rob Schoofs,Midfielder  - 28,55.5,"Ξ 0,0240"
45th,Kévin Denkey,Forward  - 22,55.5,"Ξ 0,0413"
46th,Luís 'Duk' Lopes,Forward  - 22,55.4,"Ξ 0,0337"
47th,Bryan Heynen,Midfielder  - 25,55.2,"Ξ 0,0315"
48th,Rubin Seigers,Defender  - 25,55.1,"Ξ 0,0039"
49th,Paul Nardi,Goalkeeper  - 28,55.0,"Ξ 0,103"
50th,Gianni Bruno,Forward  - 31,55.0,"Ξ 0,0137"
51st,Geoffry Hairemans,Midfielder  - 31,54.9,"Ξ 0,0097"
52nd,Tonio Teklić,Midfielder  - 23,54.8,"Ξ 0,0099"
53rd,Casper De Norre,Defender  - 25,54.7,"Ξ 0,0114"
54th,Nicolas Raskin,Midfielder  - 21,54.6,"Ξ 0,0166"
55th,Matt O’Riley,Midfielder  - 22,54.6,"Ξ 0,0697"
56th,Tomoki Iwata,Midfielder  - 25,54.5,"Ξ 0,0133"
57th,Federico Ricca,Defender  - 28,54.4,"Ξ 0,0081"
58th,Tsuyoshi Watanabe,Defender  - 25,54.4,"Ξ 0,0076"
59th,Hugo Cuypers,Forward  - 25,54.2,"Ξ 0,0486"
60th,Toni Leistner,Defender  - 32,53.6,"Ξ 0,0067"
61st,Marc-Israel Guéhi,Defender  - 22,53.4,No sale
62nd,Ken Nkuba,Forward  - 20,53.2,"Ξ 0,0228"
63rd,İlkay Gündoğan,Midfielder  - 32,53.1,"Ξ 0,113"
64th,Mousa Tamari,Forward  - 25,53.0,"Ξ 0,0143"
65th,Harry Maguire,Defender  - 29,52.5,No sale
66th,Matisse Samoise,Midfielder  - 21,52.5,"Ξ 0,0127"
67th,Paul Onuachu,Forward  - 28,52.4,"Ξ 0,0681"
68th,Lawrence Shankland,Forward  - 27,52.4,"Ξ 0,0280"
69th,Alistair Johnston,Defender  - 24,52.4,"Ξ 0,0310"
70th,Yari Verschaeren,Midfielder  - 21,52.2,"Ξ 0,0310"
71st,Vincent Janssen,Forward  - 28,52.2,"Ξ 0,0471"
72nd,Reo Hatate,Midfielder  - 25,52.1,"Ξ 0,0325"
73rd,Olivier Deman,Forward  - 22,52.1,"Ξ 0,0123"
74th,Joris Kayembe,Defender  - 28,52.1,"Ξ 0,0055"
75th,Louis Patris,Defender  - 21,52.0,"Ξ 0,0174"
76th,Daizen Maeda,Forward  - 25,52.0,"Ξ 0,0365"
77th,Stelios Andreou,Defender  - 20,51.7,"Ξ 0,0069"
78th,Mathieu Maertens,Midfielder  - 27,51.6,"Ξ 0,0056"
79th,Ryota Morioka,Midfielder  - 31,51.5,"Ξ 0,0295"
80th,Marcus Rashford,Forward  - 25,51.5,No sale
81st,Raphael Onyedika,Midfielder  - 21,51.4,"Ξ 0,0304"
82nd,Son Heung-Min,Forward  - 30,51.4,No sale
83rd,Jozo Stanić,Defender  - 23,51.4,"Ξ 0,0055"
84th,Radosław Majecki,Goalkeeper  - 23,51.3,"Ξ 0,0983"
85th,Casper Nielsen,Midfielder  - 28,51.3,"Ξ 0,0302"
86th,Ivan Perišić,Midfielder  - 33,51.3,"Ξ 0,0151"
87th,Daniel Armstrong,Midfielder  - 25,51.2,"Ξ 0,0054"
88th,Ravil Tagir,Defender  - 19,51.1,"Ξ 0,0126"
89th,Vertonghen,Defender  - 35,50.9,"Ξ 0,0107"
90th,Sven Kums,Midfielder  - 34,50.9,"Ξ 0,0140"
91st,Marco Ilaimaharitra,Midfielder  - 27,50.8,"Ξ 0,0037"
92nd,Bryan Reynolds,Defender  - 21,50.6,"Ξ 0,0119"
93rd,Andrew Halliday,Midfielder  - 31,50.5,"Ξ 0,0022"
94th,Ylber Ramadani,Midfielder  - 26,50.2,"Ξ 0,0073"
95th,Simon Adingra,Forward  - 21,50.2,"Ξ 0,0347"
96th,Lyle Foster,Forward  - 22,50.1,"Ξ 0,0236"
97th,Siebe Van der Heyden,Defender  - 24,50.1,"Ξ 0,0057"
98th,Ben Davies,Defender  - 27,49.9,No sale
99th,Christian Brüls,Midfielder  - 34,49.9,"Ξ 0,0038"
100th,Vadis Odjidja-Ofoe,Midfielder  - 33,49.9,"Ξ 0,0047"
101st,Simon Mignolet,Goalkeeper  - 34,49.8,"Ξ 0,0789"
102nd,Merveille Bokadi,Midfielder  - 26,49.8,"Ξ 0,0051"
103rd,Joshua Ginnelly,Forward  - 25,49.7,"Ξ 0,0095"
104th,Habib Keita,Midfielder  - 20,49.7,"Ξ 0,0091"
105th,Ismaël Kandouss,Defender  - 25,49.6,"Ξ 0,0054"
106th,Leonardo Lopes,Midfielder  - 24,49.5,"Ξ 0,0047"
107th,Ashton Taylor,Defender  - 32,49.5,"Ξ 0,0044"
108th,Jelle Vossen,Forward  - 33,49.4,"Ξ 0,0031"
109th,Ryan Strain,Midfielder  - 25,49.3,"Ξ 0,0020"
110th,Thierry Ambrose,Forward  - 25,49.3,"Ξ 0,0072"
111th,Manuel Akanji,Defender  - 27,49.3,"Ξ 0,0212"
112th,Fashion Sakala,Forward  - 25,49.2,No sale
113th,Anthony Moris,Goalkeeper  - 32,49.1,"Ξ 0,0634"
114th,Aron Dønnum,Midfielder  - 24,49.0,"Ξ 0,0073"
115th,Joachim Andersen,Defender  - 26,49.0,No sale
116th,Bart Nieuwkoop,Defender  - 26,48.9,"Ξ 0,0102"
117th,Michael Ngadeu,Defender  - 32,48.9,"Ξ 0,0174"
118th,Michael Smith,Defender  - 34,48.9,"Ξ 0,0042"
119th,Laurent Depoitre,Forward  - 34,48.6,"Ξ 0,0036"
120th,Nene Dorgeles,Forward  - 20,48.5,"Ξ 0,0216"
121st,Ferran Jutglà,Forward  - 23,48.4,"Ξ 0,0682"
122nd,Jean Butez,Goalkeeper  - 27,48.2,"Ξ 0,0757"
123rd,Barrie McKay,Forward  - 28,48.1,"Ξ 0,0152"
124th,Calvin Stengs,Forward  - 24,48.0,No sale
125th,Frank Boya,Midfielder  - 26,48.0,"Ξ 0,0036"
126th,Alieu Fadera,Forward  - 21,48.0,"Ξ 0,0166"
127th,Scott McMann,Defender  - 26,47.9,"Ξ 0,0023"
128th,Amadou Diawara,Midfielder  - 25,47.8,"Ξ 0,0048"
129th,Fran Brodić,Forward  - 26,47.8,"Ξ 0,0100"
130th,Loïc Lapoussin,Forward  - 26,47.8,"Ξ 0,0106"
131st,Aaron Mooy,Midfielder  - 32,47.8,"Ξ 0,0108"
132nd,Liam Scales,Defender  - 24,47.7,"Ξ 0,0062"
133rd,Julián Álvarez,Forward  - 22,47.6,"Ξ 0,127"
134th,Daichi Hayashi,Forward  - 25,47.6,"Ξ 0,0143"
135th,Kyogo Furuhashi,Forward  - 27,47.6,"Ξ 0,0653"
136th,Nikola Storm,Forward  - 28,47.4,"Ξ 0,0191"
137th,Ayase Ueda,Forward  - 24,47.3,"Ξ 0,0156"
138th,Gustav Engvall,Forward  - 26,47.0,"Ξ 0,0027"
139th,Jelle Bataille,Defender  - 23,47.0,"Ξ 0,0042"
140th,Jack Grealish,Midfielder  - 27,47.0,No sale
141st,Ewoud Pletinckx,Defender  - 22,46.9,"Ξ 0,0066"
142nd,Craig Sibbald,Midfielder  - 27,46.9,"Ξ 0,0023"
143rd,Toni Fruk,Midfielder  - 21,46.9,"Ξ 0,0027"
144th,Mark O'Hara,Midfielder  - 27,46.8,"Ξ 0,0017"
145th,Jurgen Ekkelenkamp,Midfielder  - 22,46.8,"Ξ 0,0180"
146th,Halil Akbunar,Forward  - 29,46.6,"Ξ 0,0013"
147th,Jonas Bager,Defender  - 26,46.6,"Ξ 0,0015"
148th,Aziz Behich,Defender  - 32,46.6,"Ξ 0,0023"
149th,Felipe Avenatti,Forward  - 29,46.5,"Ξ 0,0161"
150th,Bjorn Meijer,Defender  - 19,46.4,"Ξ 0,0189"
151st,Bernardo Silva,Midfielder  - 28,46.4,No sale
152nd,Isaac Mbenza,Forward  - 26,46.1,"Ξ 0,0065"
153rd,Anthony Stewart,Defender  - 30,46.1,"Ξ 0,0030"
154th,Sean Kelly,Defender  - 29,46.1,"Ξ 0,0022"
155th,Jordan Ayew,Forward  - 31,45.6,No sale
156th,Kye Rowles,Defender  - 24,45.6,"Ξ 0,0033"
157th,Regan Charles-Cook,Forward  - 25,45.6,"Ξ 0,0077"
158th,Dino Hotič,Midfielder  - 27,45.5,"Ξ 0,0123"
159th,Lennart Moser,Goalkeeper  - 23,45.5,"Ξ 0,0634"
160th,Nicholas Devlin,Defender  - 29,45.5,"Ξ 0,0028"
161st,Tajon Buchanan,Forward  - 23,45.4,"Ξ 0,0273"
162nd,Liam Smith,Defender  - 26,45.4,"Ξ 0,0017"
163rd,Moustapha Mbow,Defender  - 22,45.2,"Ξ 0,0160"
164th,Hamza Mendyl,Defender  - 25,45.1,"Ξ 0,0025"
165th,Novatus Miroshi,Midfielder  - 20,45.1,"Ξ 0,0075"
166th,Gaëtan Coucke,Goalkeeper  - 24,45.0,"Ξ 0,0502"
167th,Ryan Edwards,Defender  - 29,44.8,"Ξ 0,0016"
168th,Ethan Erhahon,Midfielder  - 21,44.6,"Ξ 0,0031"
169th,Tatsuhiro Sakamoto,Midfielder  - 26,44.5,"Ξ 0,0017"
170th,Ivan Banić,Goalkeeper  - 28,44.4,"Ξ 0,0271"
171st,Phil Foden,Midfielder  - 22,44.4,No sale
172nd,Andrew Hjulsager,Midfielder  - 28,44.4,"Ξ 0,0038"
173rd,Hendrik Van Crombrugge,Goalkeeper  - 29,44.4,"Ξ 0,0384"
174th,Konan Jocelyn N’Dri,Forward  - 22,44.1,"Ξ 0,0072"
175th,Connor Barron,Midfielder  - 20,44.0,"Ξ 0,0067"
176th,Rune Paeshuyse,Defender  - 20,43.9,"Ξ 0,0074"
177th,Mathieu Cachbach,Midfielder  - 21,43.9,"Ξ 0,0026"
178th,Alessio da Cruz,Forward  - 25,43.8,No sale
179th,Tony Watt,Forward  - 29,43.8,"Ξ 0,0015"
180th,Fábio Silva,Forward  - 20,43.8,No sale
181st,Sinan Bolat,Goalkeeper  - 34,43.7,"Ξ 0,0335"
182nd,Pieter Gerkens,Midfielder  - 27,43.6,"Ξ 0,0017"
183rd,Joe Hart,Goalkeeper  - 35,43.5,"Ξ 0,0797"
184th,Jurica Pršir,Midfielder  - 22,43.4,"Ξ 0,0030"
185th,Bruce Anderson,Forward  - 24,43.3,"Ξ 0,0071"
186th,Daiki Hashioka,Defender  - 23,43.3,"Ξ 0,0032"
187th,Valentin Cojocaru,Goalkeeper  - 27,43.2,"Ξ 0,0450"
188th,Majeed Ashimeru,Midfielder  - 25,43.2,"Ξ 0,0110"
189th,Alexander Cochrane,Defender  - 22,43.1,"Ξ 0,0042"
190th,Yuki Kobayashi,Defender  - 22,43.0,"Ξ 0,0078"
191st,David Bates,Defender  - 26,43.0,No sale
192nd,Hugo Lloris,Goalkeeper  - 36,42.9,"Ξ 0,200"
193rd,Bojan Miovski,Forward  - 23,42.9,"Ξ 0,0128"
194th,Mathias Fixelles,Midfielder  - 26,42.7,"Ξ 0,0032"
195th,Yentl Van Genechten,Defender  - 22,42.7,"Ξ 0,0027"
196th,Matija Kolarić,Midfielder  - 26,42.5,"Ξ 0,0021"
197th,Antoine Bernier,Midfielder  - 25,42.5,"Ξ 0,0024"
198th,Agon Elezi,Midfielder  - 21,42.4,"Ξ 0,0027"
199th,Abdoulaye Sissako,Midfielder  - 24,42.3,"Ξ 0,0021"
200th,Francis Amuzu,Midfielder  - 23,42.3,"Ξ 0,0087"
201st,Liel Abada,Forward  - 21,41.7,"Ξ 0,0268"
202nd,Curtis Main,Forward  - 30,41.5,"Ξ 0,0038"
203rd,Benjamin Davies,Defender  - 29,41.4,No sale
204th,Boris Popović,Defender  - 22,41.3,"Ξ 0,0035"
205th,Michael Murillo,Defender  - 26,41.2,"Ξ 0,0062"
206th,Krešimir Krizmanić,Defender  - 22,41.1,"Ξ 0,0020"
207th,Alan Power,Midfielder  - 34,40.9,"Ξ 0,0005"
208th,Lewis Mayo,Defender  - 22,40.8,"Ξ 0,0032"
209th,Nick Bätzner,Midfielder  - 22,40.8,"Ξ 0,0038"
210th,Kieran Freeman,Defender  - 22,40.8,"Ξ 0,0016"
211th,Daan Heymans,Midfielder  - 23,40.8,"Ξ 0,0039"
212th,João Cancelo,Defender  - 28,40.7,No sale
213th,Anton Tanghe,Defender  - 23,40.5,"Ξ 0,0013"
214th,Tuur Dierckx,Forward  - 27,40.5,No sale
215th,Jón Dagur Thorsteinsson,Forward  - 24,40.2,"Ξ 0,0053"
216th,James Jeggo,Midfielder  - 30,40.0,"Ξ 0,0010"
217th,Ian Harkes,Midfielder  - 27,39.9,"Ξ 0,0019"
218th,Gary Magnée,Midfielder  - 23,39.8,"Ξ 0,0038"
219th,Modou Tambedou,Midfielder  - 19,39.8,"Ξ 0,0034"
220th,Ibrahim Salah,Forward  - 21,39.7,"Ξ 0,0211"
221st,Toby Sibbick,Defender  - 23,39.6,"Ξ 0,0096"
222nd,Jesper Daland,Defender  - 23,39.6,"Ξ 0,0063"
223rd,Kelle Roos,Goalkeeper  - 30,39.4,"Ξ 0,0434"
224th,Jason Davidson,Defender  - 31,39.2,"Ξ 0,0015"
225th,Kristof D'Haene,Defender  - 32,39.0,"Ξ 0,0005"
226th,Sandy Walsh,Defender  - 27,38.9,"Ξ 0,0014"
227th,Kenny Rocha Santos,Midfielder  - 23,38.9,"Ξ 0,0017"
228th,Jason Holt,Midfielder  - 29,38.7,"Ξ 0,0011"
229th,Isaac Nuhu,Midfielder  - 21,38.5,"Ξ 0,0035"
230th,Gojko Cimirot,Midfielder  - 30,38.5,"Ξ 0,0011"
231st,Luka Jelenić,Defender  - 22,38.3,"Ξ 0,0035"
232nd,Greg Kiltie,Midfielder  - 25,38.2,"Ξ 0,0014"
233rd,Giorgos Giakoumakis,Forward  - 28,38.1,"Ξ 0,0337"
234th,Andris Herrera,Forward  - 26,38.1,"Ξ 0,0019"
235th,Trevor Carson,Goalkeeper  - 34,38.0,"Ξ 0,0298"
236th,Morgan Poaty,Defender  - 25,37.9,"Ξ 0,0007"
237th,Oliver Zelenika,Goalkeeper  - 29,37.9,"Ξ 0,0303"
238th,Ross McCrorie,Midfielder  - 24,37.9,"Ξ 0,0018"
239th,Ritchie De Laet,Defender  - 34,37.8,"Ξ 0,0039"
240th,Andrew Shinnie,Midfielder  - 33,37.7,"Ξ 0,0044"
241st,Alessandro Ciranni,Defender  - 26,37.7,"Ξ 0,0014"
242nd,Abdoulaye Sylla,Defender  - 22,37.6,"Ξ 0,0018"
243rd,Jackson Tchatchoua,Midfielder  - 21,37.6,"Ξ 0,0019"
244th,Fabrice Sambu,Defender  - 26,37.5,"Ξ 0,0029"
245th,Smail Prevljak,Forward  - 27,37.4,"Ξ 0,0141"
246th,Joey Suk,Midfielder  - 33,37.1,"Ξ 0,0010"
247th,Cameron Puertas,Midfielder  - 24,37.1,"Ξ 0,0032"
248th,Nurio Fortuna,Defender  - 27,36.6,"Ξ 0,0013"
249th,Stéphane Oméonga,Midfielder  - 26,36.2,"Ξ 0,0017"
250th,Stipe Perica,Forward  - 27,35.9,No sale
251st,Keanu Baccus,Midfielder  - 24,35.8,No sale
252nd,Ayomide Obileye,Defender  - 28,35.8,"Ξ 0,0008"
253rd,Scott Tanser,Defender  - 28,35.8,"Ξ 0,0008"
254th,Rory McKenzie,Midfielder  - 29,35.8,"Ξ 0,0009"
255th,Kristian Arnstad,Midfielder  - 19,35.7,"Ξ 0,0089"
256th,Denis Drăguş,Forward  - 23,35.6,"Ξ 0,0035"
257th,Marcus Fraser,Defender  - 28,35.6,"Ξ 0,0009"
258th,Hayden Coulson,Defender  - 24,35.5,"Ξ 0,0028"
259th,Charles Dunne,Defender  - 29,35.5,"Ξ 0,0008"
260th,Sambou Sissoko,Midfielder  - 23,35.3,"Ξ 0,0035"
261st,Ali Gholizadeh,Midfielder  - 26,34.5,"Ξ 0,0032"
262nd,Mario Stroeykens,Midfielder  - 18,34.1,"Ξ 0,0180"
263rd,Jonah Ayunga,Forward  - 25,34.0,"Ξ 0,0014"
264th,David Atanga,Forward  - 26,34.0,"Ξ 0,0035"
265th,Yann Gboho,Midfielder  - 22,33.4,"Ξ 0,0050"
266th,Chinonso Offor,Forward  - 22,33.2,"Ξ 0,0028"
267th,Joren Dom,Defender  - 33,33.0,"Ξ 0,0006"
268th,Yonas Malede,Forward  - 23,32.6,"Ξ 0,0040"
269th,Matúš Vojtko,Defender  - 22,32.1,"Ξ 0,0008"
270th,Alan Forrest,Forward  - 26,31.8,"Ξ 0,0025"
271st,Mbwana Samatta,Forward  - 30,31.5,No sale
272nd,Daniel Opare,Defender  - 32,31.2,"Ξ 0,0009"
273rd,Kyan Vaesen,Forward  - 21,31.0,"Ξ 0,0025"
274th,Stan Van Dessel,Midfielder  - 21,30.7,"Ξ 0,0012"
275th,James Penrice,Defender  - 24,28.9,"Ξ 0,0013"
276th,Scott Pittman,Midfielder  - 30,27.6,"Ξ 0,0006"
277th,Sérgio Conceição,Defender  - 26,26.2,"Ξ 0,0005"
278th,Leroy Abanda Mfomo,Defender  - 22,24.8,"Ξ 0,0006"
