3xl:text-lg,2xl:text-med,text-textGrey4,font-bold 2,text-limited
1st,Teddy Teuma,Midfielder  - 29,68.2,"Ξ 0,0851"
2nd,Rodri,Midfielder  - 26,68.0,No sale
3rd,Bruno Fernandes,Midfielder  - 28,67.9,No sale
4th,Maxim De Cuyper,Defender  - 22,64.2,"Ξ 0,0863"
5th,Mike Trésor,Midfielder  - 23,64.1,"Ξ 0,106"
6th,Daniel Muñoz,Defender  - 26,63.8,"Ξ 0,0694"
7th,Harry Kane,Forward  - 29,63.7,No sale
8th,Stef Peeters,Midfielder  - 30,62.5,"Ξ 0,0197"
9th,Carlos Henrique Casimiro,Midfielder  - 30,62.3,"Ξ 0,0625"
10th,Pierre-Emile Højbjerg,Midfielder  - 27,61.3,No sale
11th,Kevin De Bruyne,Midfielder  - 31,61.2,"Ξ 1,753"
12th,Boris Lambert,Defender  - 22,60.5,"Ξ 0,0216"
13th,Luke Shaw,Defender  - 27,60.5,No sale
14th,Erling Haaland,Forward  - 22,59.8,"Ξ 0,796"
15th,Toby Alderweireld,Defender  - 33,58.8,"Ξ 0,0296"
16th,Maarten Vandevoordt,Goalkeeper  - 20,58.6,"Ξ 0,279"
17th,Joseph Okumu,Defender  - 25,58.2,"Ξ 0,0388"
18th,Carlos Cuesta,Defender  - 23,57.8,"Ξ 0,0185"
19th,William Balikwisha,Midfielder  - 23,57.7,"Ξ 0,0242"
20th,Hyun-seok Hong,Midfielder  - 23,57.6,"Ξ 0,0293"
21st,Dante Vanzeir,Forward  - 24,57.5,"Ξ 0,0387"
22nd,Alhassan Yusuf,Midfielder  - 22,57.5,"Ξ 0,0254"
23rd,Jean Amani,Midfielder  - 24,57.4,"Ξ 0,0187"
24th,Arnaud Bodart,Goalkeeper  - 24,57.3,"Ξ 0,0761"
25th,Noë Dussenne,Defender  - 30,57.2,"Ξ 0,0077"
26th,Christian Burgess,Defender  - 31,57.2,"Ξ 0,0217"
27th,Patrik Hrošovský,Midfielder  - 30,57.1,"Ξ 0,0111"
28th,John Stones,Defender  - 28,57.1,No sale
29th,Thibo Somers,Forward  - 23,57.1,"Ξ 0,0244"
30th,Brandon Mechele,Defender  - 29,56.6,"Ξ 0,0275"
