3xl:text-lg,2xl:text-med,text-textGrey4,font-bold 2,text-limited
85th,Fares Chaïbi,Midfielder  - 20,47.8,"Ξ 0,0205"
86th,Mathias Autret,Midfielder  - 31,47.6,"Ξ 0,0031"
87th,Folarin Balogun,Forward  - 21,47.6,"Ξ 0,0474"
88th,Junya Ito,Forward  - 29,47.4,"Ξ 0,0232"
89th,Mohamed Youssouf,Midfielder  - 34,47.2,"Ξ 0,0038"
90th,Carlos Soler,Midfielder  - 26,47.1,"Ξ 0,0101"
91st,Thiago Mendes,Midfielder  - 30,46.9,"Ξ 0,0100"
92nd,Vincent Le Goff,Defender  - 33,46.8,"Ξ 0,0043"
93rd,Mahdi Camara,Midfielder  - 24,46.6,"Ξ 0,0048"
94th,Brendan Chardonnet,Defender  - 28,46.5,"Ξ 0,0044"
95th,Marshall Munetsi,Midfielder  - 26,46.5,"Ξ 0,0058"
96th,Castello Lukeba,Defender  - 20,46.2,"Ξ 0,0384"
97th,Salis Samed,Midfielder  - 22,46.1,No sale
98th,Lilian Brassier,Defender  - 23,45.9,"Ξ 0,0041"
99th,Vincent Marchetti,Midfielder  - 25,45.7,"Ξ 0,0037"
100th,Adrien Hunou,Forward  - 29,45.5,"Ξ 0,0066"
101st,Lesley Ugochukwu,Midfielder  - 18,45.4,"Ξ 0,0223"
102nd,Mostafa Mohamed,Forward  - 25,45.1,"Ξ 0,0132"
103rd,Alexander Nübel,Goalkeeper  - 26,45.1,"Ξ 0,0910"
104th,Yohann Magnin,Midfielder  - 25,45.0,"Ξ 0,0043"
105th,Bafodé Diakité,Defender  - 22,44.8,"Ξ 0,0201"
106th,Jubal,Defender  - 29,44.6,"Ξ 0,0026"
107th,Elbasan Rashani,Midfielder  - 29,44.6,"Ξ 0,0034"
108th,Christopher Jullien,Defender  - 29,44.3,"Ξ 0,0047"
109th,Julien Ponceau,Midfielder  - 22,44.2,"Ξ 0,0078"
110th,Breel Embolo,Forward  - 25,44.1,"Ξ 0,0437"
111th,Rayan Cherki,Forward  - 19,44.0,"Ξ 0,0922"
112th,Melvin Bard,Defender  - 22,44.0,No sale
113th,Cengiz Ünder,Forward  - 25,43.9,"Ξ 0,0293"
114th,Mathias Pereira Lage,Midfielder  - 26,43.6,"Ξ 0,0026"
115th,Birama Touré,Midfielder  - 30,43.4,"Ξ 0,0023"
116th,Nuno Da Costa,Forward  - 31,43.0,"Ξ 0,0031"
117th,Youssouf Fofana,Midfielder  - 24,42.9,"Ξ 0,0190"
118th,Quentin Merlin,Midfielder  - 20,42.9,"Ξ 0,0188"
119th,Ignatius Ganago,Forward  - 23,42.7,No sale
120th,Samuel Moutoussamy,Midfielder  - 26,42.3,"Ξ 0,0018"
121st,Stéphane Diarra,Forward  - 24,42.3,"Ξ 0,0047"
122nd,Timothy Weah,Forward  - 22,42.3,"Ξ 0,0184"
123rd,Lois Openda,Forward  - 22,42.2,"Ξ 0,0583"
124th,Haris Belkebla,Midfielder  - 29,42.0,"Ξ 0,0034"
125th,Aaron Ramsey,Midfielder  - 32,42.0,"Ξ 0,0086"
126th,Adrien Truffert,Defender  - 21,42.0,"Ξ 0,0209"
127th,Thijs Dallinga,Forward  - 22,41.3,"Ξ 0,0163"
128th,Kamory Doumbia,Midfielder  - 19,41.3,"Ξ 0,0043"
129th,Komnen Andrić,Forward  - 27,41.2,"Ξ 0,0053"
130th,Arnaud Kalimuendo,Forward  - 21,41.1,"Ξ 0,0336"
131st,Karl Toko Ekambi,Forward  - 30,40.8,"Ξ 0,0238"
132nd,Lassine Sinayoko,Forward  - 23,40.8,"Ξ 0,0063"
133rd,Moses Simon,Midfielder  - 27,40.4,"Ξ 0,0116"
134th,Zakaria Aboukhlal,Forward  - 22,40.4,"Ξ 0,0208"
135th,Cédric Hountondji,Defender  - 29,40.3,"Ξ 0,0024"
136th,Fabián Ruiz,Midfielder  - 26,40.1,"Ξ 0,0133"
137th,Muhammed Cham,Midfielder  - 22,40.0,"Ξ 0,0049"
138th,Lovro Majer,Midfielder  - 25,40.0,"Ξ 0,0242"
139th,M'Baye Niang,Forward  - 28,39.1,"Ξ 0,0092"
140th,Arnaud Nordin,Forward  - 24,39.1,"Ξ 0,0054"
141st,Grejohn Kyei,Forward  - 27,39.0,"Ξ 0,0053"
142nd,Moussa Diarra,Defender  - 22,38.9,"Ξ 0,0076"
143rd,Maxime Le Marchand,Defender  - 33,38.9,"Ξ 0,0012"
144th,Jean-Eudes Aholou,Midfielder  - 28,38.7,"Ξ 0,0014"
145th,Arbër Zeneli,Midfielder  - 27,38.6,"Ξ 0,0019"
146th,Ismail Jakobs,Defender  - 23,38.4,"Ξ 0,0064"
147th,Benjamin Leroy,Goalkeeper  - 33,38.3,"Ξ 0,0244"
148th,Birger Meling,Defender  - 28,38.3,"Ξ 0,0022"
149th,Batista Mendy,Midfielder  - 23,38.2,"Ξ 0,0032"
150th,Bonke Innocent,Midfielder  - 27,38.2,"Ξ 0,0015"
151st,Ruslan Malinovskyi,Midfielder  - 29,37.9,"Ξ 0,0368"
152nd,Matz Sels,Goalkeeper  - 30,37.9,"Ξ 0,0468"
153rd,Riad Nouri,Midfielder  - 37,37.8,"Ξ 0,0013"
154th,Amine Salama,Forward  - 22,37.8,"Ξ 0,0098"
155th,Noah Fadiga,Defender  - 23,37.6,"Ξ 0,0021"
156th,Mounaïm El Idrissy,Forward  - 23,37.6,"Ξ 0,0043"
157th,Cyrille Bayala,Forward  - 26,37.5,"Ξ 0,0049"
158th,Moussa Sissoko,Midfielder  - 33,37.3,"Ξ 0,0027"
159th,Yan Valery,Defender  - 23,37.2,"Ξ 0,0018"
160th,Adrien Thomasson,Midfielder  - 29,36.4,"Ξ 0,0104"
161st,Souleyman Doumbia,Defender  - 26,36.0,"Ξ 0,0019"
162nd,Issiaga Sylla,Defender  - 29,36.0,"Ξ 0,0024"
163rd,Benoît Costil,Goalkeeper  - 35,36.0,"Ξ 0,0107"
164th,Mitchell van Bergen,Forward  - 23,35.9,"Ξ 0,0055"
165th,Gauthier Hein,Forward  - 26,35.9,"Ξ 0,0048"
166th,André Gomes,Midfielder  - 29,35.9,"Ξ 0,0041"
167th,Islam Slimani,Forward  - 34,35.7,"Ξ 0,0024"
168th,Ismaël Diallo,Defender  - 26,35.6,"Ξ 0,0020"
169th,Gaëtan Perrin,Forward  - 26,35.4,"Ξ 0,0047"
170th,Bevic Moussiti-Oko,Forward  - 28,35.3,"Ξ 0,0023"
171st,Rayan Raveloson,Midfielder  - 26,35.2,"Ξ 0,0014"
172nd,Nuno Tavares,Defender  - 23,34.9,"Ξ 0,0243"
173rd,Jim Allevinah,Midfielder  - 27,34.8,"Ξ 0,0018"
174th,Sébastien Corchia,Defender  - 32,34.6,"Ξ 0,0014"
175th,Dion Lopy,Midfielder  - 20,34.5,"Ξ 0,0020"
176th,Jean-Kévin Duverne,Defender  - 25,33.6,"Ξ 0,0014"
177th,Abdallah Sima,Forward  - 21,33.4,"Ξ 0,0058"
178th,Falaye Sacko,Defender  - 27,33.3,"Ξ 0,0030"
179th,Evann Guessand,Forward  - 21,33.3,"Ξ 0,0097"
180th,Ibrahima Koné,Forward  - 23,32.4,"Ξ 0,0084"
181st,Faitout Maouassa,Defender  - 24,32.2,"Ξ 0,0230"
182nd,Thomas Mangani,Midfielder  - 35,32.1,"Ξ 0,0009"
183rd,Veljko Birmančević,Midfielder  - 24,30.6,"Ξ 0,0031"
184th,Valère Germain,Forward  - 32,30.5,No sale
185th,Ado Onaiwu,Forward  - 27,28.3,"Ξ 0,0041"
186th,Sada Thioub,Midfielder  - 27,24.7,"Ξ 0,0008"
